"","day_index","day","year","mo","county","temp","prcp","NUM_COLLISIONS"
"6243",1814,3,2017,5,"Queens County",53.9,0.01,0.620087336244541
"6246",1817,4,2017,5,"Queens County",53.8,0.05,0.803493449781659
"6254",1825,5,2017,5,"Queens County",55.4,0.1,0.895196506550218
"6260",1466,6,2017,5,"Queens County",57.5,0.03,0.506550218340611
"6265",1471,7,2017,5,"Queens County",51.8,0,0.493449781659389
"6270",1476,1,2017,5,"Queens County",49.6,0,0.480349344978166
"6274",1480,2,2017,5,"Queens County",53.5,0.01,0.7117903930131
"6277",1483,3,2017,5,"Queens County",55.4,0.01,0.777292576419214
"7692",1488,4,2017,6,"Queens County",55.7,0.01,0.685589519650655
"7697",1493,5,2017,6,"Queens County",58.2,0,0.825327510917031
"7705",1501,6,2017,6,"Queens County",56.9,0,0.7117903930131
"7706",1502,7,2017,6,"Queens County",58,0,0.528384279475983
"7712",1508,1,2017,6,"Queens County",56.6,0,0.759825327510917
"7718",1514,2,2017,6,"Queens County",52.4,0,0.720524017467249
"7724",1520,3,2017,6,"Queens County",54.5,0.01,0.737991266375546
"7727",1523,4,2017,6,"Queens County",52.7,0.01,0.781659388646288
"7735",1531,5,2017,6,"Queens County",57.6,0,0.786026200873362
"7740",1536,6,2017,6,"Queens County",60.4,0,0.737991266375546
"7742",1538,7,2017,6,"Queens County",61.5,0,0.729257641921397
"7747",1543,1,2017,6,"Queens County",66,0,0.88646288209607
"7754",1550,2,2017,6,"Queens County",67.3,0,0.882096069868996
"7757",1553,3,2017,6,"Queens County",67.1,0,0.781659388646288
"7762",1558,4,2017,6,"Queens County",57.2,0,0.851528384279476
"7770",1566,5,2017,6,"Queens County",59.8,0,0.646288209606987
"7771",1567,6,2017,6,"Queens County",61.7,0.02,0.7117903930131
"7777",1573,7,2017,6,"Queens County",63.8,0.11,0.672489082969432
"7785",1581,1,2017,6,"Queens County",64.7,0.11,0.943231441048035
"7786",1582,2,2017,6,"Queens County",63.4,0,0.930131004366812
"7794",1590,3,2017,6,"Queens County",62.6,0,0.838427947598253
"7800",1596,4,2017,6,"Queens County",65.8,0,0.91703056768559
"7802",1598,5,2017,6,"Queens County",64.9,0,0.847161572052402
"7809",1605,6,2017,6,"Queens County",67.2,0,0.938864628820961
"7814",1610,7,2017,6,"Queens County",68.8,0,0.689956331877729
"7819",1615,1,2017,6,"Queens County",66.7,0,0.685589519650655
"7822",1618,2,2017,6,"Queens County",64.3,0,0.820960698689956
"7830",1626,3,2017,6,"Queens County",65.4,0,0.807860262008734
"7835",1631,4,2017,6,"Queens County",65.6,0,0.646288209606987
"7836",1632,5,2017,6,"Queens County",66.9,0,0.790393013100437
"9438",1639,6,2017,7,"Queens County",67.7,0,0.663755458515284
"9444",1645,7,2017,7,"Queens County",68.7,0.03,0.737991266375546
"9448",1649,1,2017,7,"Queens County",70.9,0,0.820960698689956
"9455",1656,2,2017,7,"Queens County",72,0,0.528384279475983
"9458",1659,3,2017,7,"Queens County",67.9,0,0.733624454148472
"9462",1663,4,2017,7,"Queens County",61.7,0,0.641921397379913
"9470",1671,5,2017,7,"Queens County",66,0,0.794759825327511
"9472",1673,6,2017,7,"Queens County",67.3,0.5,0.707423580786026
"9479",1680,7,2017,7,"Queens County",69.6,0,0.59825327510917
"9484",1685,1,2017,7,"Queens County",68.3,0,0.694323144104803
"9486",1687,2,2017,7,"Queens County",68.8,0,0.681222707423581
"9493",1694,3,2017,7,"Queens County",70.8,0,0.799126637554585
"9497",1698,4,2017,7,"Queens County",70.8,0,0.733624454148472
"9504",1705,5,2017,7,"Queens County",63.7,0,0.698689956331878
"9506",1707,6,2017,7,"Queens County",64.3,0.11,0.777292576419214
"9514",1715,7,2017,7,"Queens County",69.3,0,0.593886462882096
"9518",1719,1,2017,7,"Queens County",67.3,0,0.733624454148472
"9521",1722,2,2017,7,"Queens County",69.4,0,0.77292576419214
"9529",1730,3,2017,7,"Queens County",71.6,0,0.751091703056769
"9531",1732,4,2017,7,"Queens County",74.7,0,0.85589519650655
"9539",1740,5,2017,7,"Queens County",75.6,0,0.759825327510917
"9542",1743,6,2017,7,"Queens County",74,0,0.672489082969432
"9550",1751,7,2017,7,"Queens County",68.4,0,0.641921397379913
"9554",1755,1,2017,7,"Queens County",63,0,0.650655021834061
"9557",1758,2,2017,7,"Queens County",62.8,0.25,0.646288209606987
"9562",1763,3,2017,7,"Queens County",63.6,0,0.62882096069869
"9566",1767,4,2017,7,"Queens County",61.8,0,0.650655021834061
"9571",1772,5,2017,7,"Queens County",69.2,0.02,0.716157205240175
"9578",1779,6,2017,7,"Queens County",65.1,0.12,0.580786026200873
"9583",1784,7,2017,7,"Queens County",67.1,0.14,0.724890829694323
"9589",1790,1,2017,7,"Queens County",63.9,0,0.807860262008734
"9708",1794,3,2017,8,"Queens County",61.8,1.57,0.685589519650655
"9714",1800,4,2017,8,"Queens County",66.2,0.11,0.676855895196507
"11114",1805,2,2017,8,"Queens County",68.2,0,0.759825327510917
"11119",1810,3,2017,8,"Queens County",68.6,0,0.676855895196507
"11125",1816,4,2017,8,"Queens County",67.5,0,0.777292576419214
"11128",1819,5,2017,8,"Queens County",67.7,0,0.777292576419214
"11132",1823,6,2017,8,"Queens County",67.7,0,0.694323144104803
"11140",1466,7,2017,8,"Queens County",69.4,0,0.576419213973799
"11144",1470,1,2017,8,"Queens County",67.5,0,0.716157205240175
"11148",1474,2,2017,8,"Queens County",65.2,0.96,0.724890829694323
"11155",1481,3,2017,8,"Queens County",67.1,0.81,0.759825327510917
"11160",1486,4,2017,8,"Queens County",67.8,0,0.74235807860262
"11164",1490,5,2017,8,"Queens County",67.6,0,0.733624454148472
"11169",1495,6,2017,8,"Queens County",65.9,0.07,0.532751091703057
"11172",1498,7,2017,8,"Queens County",71,1.24,0.663755458515284
"11178",1504,1,2017,8,"Queens County",67.7,0,0.624454148471616
"11181",1507,2,2017,8,"Queens County",67.8,0,0.580786026200873
"11190",1516,3,2017,8,"Queens County",71.1,0.23,0.663755458515284
"11192",1518,4,2017,8,"Queens County",68,0,0.672489082969432
"11197",1523,5,2017,8,"Queens County",66.6,0,0.602620087336245
"11202",1528,6,2017,8,"Queens County",71.8,1.1,0.729257641921397
"11209",1535,7,2017,8,"Queens County",72.8,1.01,0.637554585152838
"11212",1538,1,2017,8,"Queens County",69.9,0,0.65938864628821
"11216",1542,2,2017,8,"Queens County",70.5,0,0.65938864628821
"11224",1550,3,2017,8,"Queens County",72.3,0,0.554585152838428
"11229",1555,4,2017,8,"Queens County",70,0,0.620087336244541
"11234",1560,5,2017,8,"Queens County",66.4,0,0.703056768558952
"11236",1562,6,2017,8,"Queens County",64.1,0,0.637554585152838
"11243",1569,7,2017,8,"Queens County",62.3,0,0.497816593886463
"11249",1575,1,2017,8,"Queens County",62.7,0,0.620087336244541
"11255",1581,2,2017,8,"Queens County",62,0,0.593886462882096
"11257",1583,5,2017,9,"Queens County",62.7,0,0.737991266375546
"11263",1589,6,2017,9,"Queens County",58.7,0,0.558951965065502
"11267",1593,7,2017,9,"Queens County",60,1.08,0.528384279475983
"11271",1597,1,2017,9,"Queens County",65.4,0.16,0.480349344978166
"11280",1606,2,2017,9,"Queens County",68.1,0,0.755458515283843
"11282",1608,3,2017,9,"Queens County",69.6,0,0.655021834061135
"11290",1616,4,2017,9,"Queens County",67.1,2.88,0.820960698689956
"11291",1617,5,2017,9,"Queens County",65.4,0.55,0.698689956331878
"11296",1622,6,2017,9,"Queens County",63.1,0,0.615720524017467
"11303",1629,7,2017,9,"Queens County",61.1,0,0.419213973799127
"11307",1633,1,2017,9,"Queens County",63.6,0,0.751091703056769
"11314",1640,2,2017,9,"Queens County",65.3,0,0.737991266375546
"11318",1644,3,2017,9,"Queens County",67.5,0,0.689956331877729
"11321",1647,4,2017,9,"Queens County",67.4,0,0.703056768558952
"11330",1656,5,2017,9,"Queens County",67.9,0.02,0.903930131004367
"11335",1661,6,2017,9,"Queens County",66.8,0,0.663755458515284
"11337",1663,7,2017,9,"Queens County",64.7,0,0.655021834061135
"11342",1668,1,2017,9,"Queens County",65.7,0,0.74235807860262
"11346",1672,2,2017,9,"Queens County",65.5,0.02,0.65938864628821
"11352",1678,3,2017,9,"Queens County",66.1,0.59,0.585152838427948
"11356",1682,4,2017,9,"Queens County",63.9,2.35,0.528384279475983
"11365",1691,5,2017,9,"Queens County",61.3,3.17,0.676855895196507
"11367",1693,6,2017,9,"Queens County",62.6,0.3,0.663755458515284
"11374",1700,7,2017,9,"Queens County",65.3,0.05,0.580786026200873
"11377",1703,1,2017,9,"Queens County",64.2,0,0.877729257641921
"11385",1711,2,2017,9,"Queens County",65.9,0.12,0.729257641921397
"11387",1713,3,2017,9,"Queens County",68.7,0,0.737991266375546
"11392",1718,4,2017,9,"Queens County",69.4,0.07,0.733624454148472
"11398",1724,5,2017,9,"Queens County",59.6,0.2,0.790393013100437
"11402",1728,6,2017,9,"Queens County",56.3,0,0.615720524017467
"12926",1732,7,2017,10,"Queens County",55.5,0.08,0.528384279475983
"12935",1741,1,2017,10,"Queens County",58,0,0.847161572052402
"12939",1745,2,2017,10,"Queens County",54.1,0,0.720524017467249
"12943",1749,3,2017,10,"Queens County",59.3,0,0.724890829694323
"12949",1755,4,2017,10,"Queens County",63.7,0,0.676855895196507
"12952",1758,5,2017,10,"Queens County",64.9,0.18,0.689956331877729
"12958",1764,6,2017,10,"Queens County",63.8,0,0.589519650655022
"12962",1768,7,2017,10,"Queens County",65.8,0,0.454148471615721
"12970",1776,1,2017,10,"Queens County",66.3,0.02,0.576419213973799
"12972",1778,2,2017,10,"Queens County",68.8,0.31,0.860262008733624
"12980",1786,3,2017,10,"Queens County",62.1,0,0.593886462882096
"12984",1790,4,2017,10,"Queens County",57.1,0.09,0.676855895196507
"12987",1793,5,2017,10,"Queens County",56.4,0.01,0.694323144104803
"12995",1801,6,2017,10,"Queens County",62.4,0,0.589519650655022
"12997",1803,7,2017,10,"Queens County",63.3,0.71,0.567685589519651
"13001",1807,1,2017,10,"Queens County",62.3,0,0.737991266375546
"13009",1815,2,2017,10,"Queens County",51.1,0,0.746724890829694
"13011",1817,3,2017,10,"Queens County",56.7,0,0.820960698689956
"13019",1825,4,2017,10,"Queens County",59.7,0,0.807860262008734
"13024",1465,5,2017,10,"Queens County",62,0,1
"13029",1470,6,2017,10,"Queens County",58.8,0,0.637554585152838
"13035",1476,7,2017,10,"Queens County",60.6,0,0.593886462882096
"13037",1478,1,2017,10,"Queens County",59.5,0,0.650655021834061
"13042",1483,2,2017,10,"Queens County",64.3,0,0.650655021834061
"13050",1491,3,2017,10,"Queens County",65.1,0.06,0.698689956331878
"13054",1495,4,2017,10,"Queens County",60.1,1.86,0.7117903930131
"13056",1497,5,2017,10,"Queens County",54.1,0.26,0.799126637554585
"13063",1504,6,2017,10,"Queens County",55.1,0,0.655021834061135
"13069",1510,7,2017,10,"Queens County",60.4,0,0.585152838427948
"13073",1514,1,2017,10,"Queens County",60.4,1.61,0.851528384279476
"13077",1518,2,2017,10,"Queens County",57.7,0.04,0.820960698689956
"14457",1523,3,2017,11,"Queens County",50.6,0,0.62882096069869
"14463",1529,4,2017,11,"Queens County",58.9,0,0.720524017467249
"14468",1534,5,2017,11,"Queens County",58.7,0,0.868995633187773
"14472",1538,6,2017,11,"Queens County",53.6,0,0.646288209606987
"14477",1543,7,2017,11,"Queens County",54.5,0,0.458515283842795
"14485",1551,1,2017,11,"Queens County",62.2,0,0.620087336244541
"14488",1554,2,2017,11,"Queens County",53,0.05,0.799126637554585
"14492",1558,3,2017,11,"Queens County",47,0.37,0.790393013100437
"14496",1562,4,2017,11,"Queens County",48.3,0.1,0.799126637554585
"14503",1569,5,2017,11,"Queens County",44.6,0.05,0.790393013100437
"14508",1574,6,2017,11,"Queens County",30.2,0,0.655021834061135
"14511",1577,7,2017,11,"Queens County",35.8,0,0.637554585152838
"14516",1582,1,2017,11,"Queens County",48.8,0,0.860262008733624
"14523",1589,2,2017,11,"Queens County",46.1,0.1,0.672489082969432
"14527",1593,3,2017,11,"Queens County",43.9,0,0.842794759825327
"14531",1597,4,2017,11,"Queens County",46.6,0,0.930131004366812
"14538",1604,5,2017,11,"Queens County",43.8,0.55,0.934497816593886
"14542",1608,6,2017,11,"Queens County",43.5,0,0.716157205240175
"14547",1613,7,2017,11,"Queens County",54.8,0,0.641921397379913
"14551",1617,1,2017,11,"Queens County",40.5,0.18,0.882096069868996
"14560",1626,2,2017,11,"Queens County",51.1,0,0.77292576419214
"14564",1630,3,2017,11,"Queens County",54.2,0,0.882096069868996
"14567",1633,4,2017,11,"Queens County",38.7,0.28,0.641921397379913
"14571",1637,5,2017,11,"Queens County",40.8,0,0.510917030567686
"14580",1646,6,2017,11,"Queens County",50.1,0,0.524017467248908
"14583",1649,7,2017,11,"Queens County",48.9,0,0.59825327510917
"14589",1655,1,2017,11,"Queens County",43,0,0.781659388646288
"14593",1659,2,2017,11,"Queens County",37.9,0,0.781659388646288
"14599",1665,3,2017,11,"Queens County",52.2,0,0.681222707423581
"14602",1668,4,2017,11,"Queens County",43.2,0,0.694323144104803
"15942",1673,5,2017,12,"Queens County",48.2,0,0.85589519650655
"15947",1678,6,2017,12,"Queens County",42.5,0,0.637554585152838
"15955",1686,7,2017,12,"Queens County",42.6,0,0.493449781659389
"15956",1687,1,2017,12,"Queens County",40.9,0,0.74235807860262
"15963",1694,2,2017,12,"Queens County",42,0,0.816593886462882
"15970",1701,3,2017,12,"Queens County",51.3,0.47,0.716157205240175
"15974",1705,4,2017,12,"Queens County",43.4,0.02,0.733624454148472
"15976",1707,5,2017,12,"Queens County",41,0,0.663755458515284
"15981",1712,6,2017,12,"Queens County",38.7,0.01,0.572052401746725
"15989",1720,7,2017,12,"Queens County",39,0.97,0.537117903930131
"15995",1726,1,2017,12,"Queens County",38.4,0,0.91703056768559
"16000",1731,2,2017,12,"Queens County",42.6,0,0.77292576419214
"16003",1734,3,2017,12,"Queens County",32.8,0.13,0.751091703056769
"16019",1750,6,2017,12,"Queens County",30.9,0.08,0.737991266375546
"16025",1756,7,2017,12,"Queens County",27.6,0.01,0.641921397379913
"16030",1761,1,2017,12,"Queens County",32.7,0,0.820960698689956
"16031",1762,2,2017,12,"Queens County",44.9,0.01,0.720524017467249
"16039",1770,3,2017,12,"Queens County",44.3,0,0.838427947598253
"16045",1776,4,2017,12,"Queens County",32.4,0,0.807860262008734
"16046",1777,5,2017,12,"Queens County",32.7,0,0.908296943231441
"16054",1785,6,2017,12,"Queens County",45.6,0.17,0.650655021834061
"16056",1787,7,2017,12,"Queens County",41.9,0.58,0.567685589519651
"16061",1792,1,2017,12,"Queens County",41.1,0.2,0.427947598253275
"16070",1801,2,2017,12,"Queens County",29.5,0.01,0.593886462882096
"16072",1803,3,2017,12,"Queens County",21.9,0,0.624454148471616
"16076",1807,4,2017,12,"Queens County",15.3,0,0.729257641921397
"16081",1812,5,2017,12,"Queens County",13.7,0,0.681222707423581
"16087",1818,6,2017,12,"Queens County",16.7,0,0.633187772925764
"16095",1826,7,2017,12,"Queens County",21,0.01,0.475982532751092
"663",1829,1,2018,1,"Queens County",9.5,0,0.511013215859031
"666",1832,2,2018,1,"Queens County",14.7,0,0.766519823788546
"672",1838,3,2018,1,"Queens County",25.6,0,0.762114537444934
"678",1844,4,2018,1,"Queens County",37.1,0.07,0.555066079295154
"682",1848,5,2018,1,"Queens County",23,2.14,0.814977973568282
"688",1854,6,2018,1,"Queens County",13.2,0,0.682819383259912
"692",1858,7,2018,1,"Queens County",9.3,0,0.537444933920705
"696",1862,1,2018,1,"Queens County",35,0,0.86784140969163
"704",1870,2,2018,1,"Queens County",38.3,0.01,0.841409691629956
"708",1874,3,2018,1,"Queens County",31.4,0,0.819383259911894
"712",1878,4,2018,1,"Queens County",38.5,0,0.740088105726872
"720",1886,5,2018,1,"Queens County",43.7,0,0.740088105726872
"724",1890,6,2018,1,"Queens County",45.4,0.41,0.740088105726872
"730",1896,7,2018,1,"Queens County",27,0.01,0.550660792951542
"732",1898,1,2018,1,"Queens County",31.6,0,0.54625550660793
"739",1905,2,2018,1,"Queens County",32.3,0,0.647577092511013
"744",1910,3,2018,1,"Queens County",36,0.17,0.731277533039648
"746",1912,4,2018,1,"Queens County",32.4,0.04,0.647577092511013
"755",1921,5,2018,1,"Queens County",28.9,0,0.722466960352423
"756",1922,6,2018,1,"Queens County",38.1,0,0.638766519823789
"763",1929,7,2018,1,"Queens County",39.7,0,0.449339207048458
"770",1936,1,2018,1,"Queens County",36.4,0,0.625550660792952
"773",1939,2,2018,1,"Queens County",45.3,0,0.54625550660793
"778",1944,3,2018,1,"Queens County",41.1,0.68,0.643171806167401
"781",1947,4,2018,1,"Queens County",28,0,0.616740088105727
"790",1956,5,2018,1,"Queens County",25.3,0,0.753303964757709
"794",1960,6,2018,1,"Queens County",36.8,0,0.599118942731278
"797",1963,7,2018,1,"Queens County",43.4,0.01,0.484581497797357
"802",1968,1,2018,1,"Queens County",40.3,0.2,0.612334801762115
"808",1974,2,2018,1,"Queens County",31.9,0.53,0.700440528634361
"813",1979,3,2018,1,"Queens County",25,0.18,0.621145374449339
"2114",1985,4,2018,2,"Queens County",38.3,0,0.66079295154185
"2120",1991,5,2018,2,"Queens County",34.2,0.07,0.731277533039648
"2123",1994,6,2018,2,"Queens County",19.8,0.08,0.585903083700441
"2130",2001,7,2018,2,"Queens County",37.8,0,0.594713656387665
"2132",2003,1,2018,2,"Queens County",42.5,1.28,0.863436123348018
"2139",2010,2,2018,2,"Queens County",30,0.12,0.651982378854626
"2145",2016,3,2018,2,"Queens County",36.4,0,0.837004405286344
"2149",2020,4,2018,2,"Queens County",34.6,0.62,0.643171806167401
"2155",2026,5,2018,2,"Queens County",28.3,0.08,0.691629955947137
"2159",2030,6,2018,2,"Queens County",41.6,0,0.568281938325991
"2165",2036,7,2018,2,"Queens County",46.3,0.61,0.431718061674009
"2166",2037,1,2018,2,"Queens County",45,1.67,0.572687224669604
"2171",2042,2,2018,2,"Queens County",31.5,0.14,0.612334801762115
"2179",2050,3,2018,2,"Queens County",36.9,0,0.762114537444934
"2185",2056,4,2018,2,"Queens County",40.8,0.35,0.66079295154185
"2186",2057,5,2018,2,"Queens County",44.8,0.14,0.581497797356828
"2191",2062,6,2018,2,"Queens County",35.9,0.1,0.713656387665198
"2200",2071,7,2018,2,"Queens County",39.4,0.55,0.537444933920705
"2203",2074,1,2018,2,"Queens County",38.1,0.01,0.533039647577093
"2208",2079,2,2018,2,"Queens County",45.6,0.06,0.60352422907489
"2213",2084,3,2018,2,"Queens County",45.9,0.02,0.629955947136564
"2219",2090,4,2018,2,"Queens County",43.1,0.03,0.45374449339207
"2224",2095,5,2018,2,"Queens County",37.5,0.03,0.599118942731278
"2226",2097,6,2018,2,"Queens County",42.3,0.09,0.629955947136564
"2235",2106,7,2018,2,"Queens County",42.5,0.21,0.440528634361233
"2238",2109,1,2018,2,"Queens County",42.1,0.72,0.612334801762115
"2242",2113,2,2018,2,"Queens County",40.3,0,0.757709251101322
"2249",2120,3,2018,2,"Queens County",42.6,0,0.762114537444934
"3748",2124,4,2018,3,"Queens County",46.7,0,0.669603524229075
"3757",2133,6,2018,3,"Queens County",40.2,0,0.585903083700441
"3762",2138,7,2018,3,"Queens County",39.6,0.11,0.506607929515419
"3769",2145,1,2018,3,"Queens County",37.8,0.38,0.682819383259912
"3771",2147,2,2018,3,"Queens County",37.7,0.08,0.832599118942731
"3776",2152,3,2018,3,"Queens County",38.1,0,0.638766519823789
"3781",2157,4,2018,3,"Queens County",39.6,0.79,0.713656387665198
"3788",2164,5,2018,3,"Queens County",35.5,0.01,0.709251101321586
"3794",2170,6,2018,3,"Queens County",38.1,0,0.612334801762115
"3800",2176,7,2018,3,"Queens County",36.3,0,0.524229074889868
"3802",2178,1,2018,3,"Queens County",36.7,0,0.797356828193833
"3810",2186,2,2018,3,"Queens County",35,1.54,0.577092511013216
"3812",2188,3,2018,3,"Queens County",34.8,0.99,0.621145374449339
"3816",1827,4,2018,3,"Queens County",36.5,0,0.740088105726872
"3824",1835,5,2018,3,"Queens County",36.1,0,0.92511013215859
"3826",1837,6,2018,3,"Queens County",33.3,0,0.643171806167401
"3832",1843,7,2018,3,"Queens County",27.2,0,0.541850220264317
"3837",1848,1,2018,3,"Queens County",30.5,0,0.674008810572687
"3843",1854,2,2018,3,"Queens County",32.5,0,0.6784140969163
"3846",1857,3,2018,3,"Queens County",36.8,0,0.497797356828194
"3855",1866,4,2018,3,"Queens County",36.1,0.86,0.872246696035242
"3860",1871,5,2018,3,"Queens County",37.5,0.07,0.841409691629956
"3861",1872,6,2018,3,"Queens County",36.3,0,0.643171806167401
"3867",1878,7,2018,3,"Queens County",35.8,0,0.638766519823789
"3873",1884,1,2018,3,"Queens County",36.4,0.01,0.872246696035242
"3877",1888,2,2018,3,"Queens County",37.6,0,0.616740088105727
"3883",1894,3,2018,3,"Queens County",40.4,0,0.696035242290749
"3886",1897,4,2018,3,"Queens County",41.6,0,0.625550660792952
"3894",1905,5,2018,3,"Queens County",46.8,0,0.568281938325991
"5242",1913,7,2018,4,"Queens County",44.2,0,0.484581497797357
"5248",1919,1,2018,4,"Queens County",37.7,0.01,0.568281938325991
"5252",1923,2,2018,4,"Queens County",35.3,0.3,0.550660792951542
"5259",1930,3,2018,4,"Queens County",47.3,0.39,0.581497797356828
"5261",1932,4,2018,4,"Queens County",39.9,0.17,0.572687224669604
"5267",1938,5,2018,4,"Queens County",38,0,0.497797356828194
"5271",1942,6,2018,4,"Queens County",43.5,0.1,0.458149779735683
"5279",1950,7,2018,4,"Queens County",37.9,0.03,0.533039647577093
"5283",1954,1,2018,4,"Queens County",36.3,0.01,0.748898678414097
"5287",1958,2,2018,4,"Queens County",37.7,0,0.621145374449339
"5291",1962,3,2018,4,"Queens County",37.9,0,0.563876651982379
"5299",1970,4,2018,4,"Queens County",42.8,0,0.696035242290749
"5302",1973,5,2018,4,"Queens County",47.7,0.02,0.845814977973568
"5307",1978,6,2018,4,"Queens County",47.7,0.08,0.713656387665198
"5315",1986,7,2018,4,"Queens County",39.7,0,0.537444933920705
"5320",1991,1,2018,4,"Queens County",44.7,0.11,0.832599118942731
"5323",1994,2,2018,4,"Queens County",45.6,0.43,0.744493392070485
"5326",1997,3,2018,4,"Queens County",41.9,0.05,0.687224669603524
"5334",2005,4,2018,4,"Queens County",41.8,0.02,0.806167400881057
"5337",2008,5,2018,4,"Queens County",43.2,0.08,0.859030837004405
"5342",2013,6,2018,4,"Queens County",44.6,0,0.691629955947137
"5346",2017,7,2018,4,"Queens County",46.3,0,0.555066079295154
"5355",2026,1,2018,4,"Queens County",46.4,0,0.801762114537445
"5359",2030,2,2018,4,"Queens County",44.7,0,0.753303964757709
"5361",2032,3,2018,4,"Queens County",49.2,0.01,0.73568281938326
"5366",2037,4,2018,4,"Queens County",50,0.81,0.828193832599119
"5371",2042,5,2018,4,"Queens County",48.8,0.03,0.656387665198238
"5377",2048,6,2018,4,"Queens County",49.5,0.13,0.696035242290749
"5381",2052,7,2018,4,"Queens County",50.5,0,0.555066079295154
"5389",2060,1,2018,4,"Queens County",46.2,0.07,0.744493392070485
"5414",2065,7,2018,5,"Queens County",49.7,0.09,0.634361233480176
"5416",2067,1,2018,5,"Queens County",50.5,0,0.700440528634361
"5421",2072,2,2018,5,"Queens County",53.9,0,0.889867841409692
"5427",2078,3,2018,5,"Queens County",55.3,0.02,0.784140969162996
"5432",2083,4,2018,5,"Queens County",54.1,0.32,0.819383259911894
"5436",2087,5,2018,5,"Queens County",52.2,0.17,0.581497797356828
"5441",2092,6,2018,5,"Queens County",49.6,0,0.594713656387665
"5446",2097,7,2018,5,"Queens County",56.5,0.15,0.669603524229075
"5451",2102,1,2018,5,"Queens County",60.9,0.03,0.744493392070485
"5459",2110,2,2018,5,"Queens County",54.6,0,0.748898678414097
"5461",2112,3,2018,5,"Queens County",57.3,0.24,0.841409691629956
"5467",2118,4,2018,5,"Queens County",56.3,0.11,0.911894273127753
"5475",2126,5,2018,5,"Queens County",56.5,0,0.94273127753304
"5480",2131,6,2018,5,"Queens County",58.8,0,0.696035242290749
"5482",2133,7,2018,5,"Queens County",53.7,0,0.581497797356828
"5487",2138,1,2018,5,"Queens County",53.4,0.08,0.422907488986784
"5494",2145,2,2018,5,"Queens County",57.7,0.01,0.889867841409692
"5496",2147,3,2018,5,"Queens County",59.2,0,0.951541850220264
"5502",2153,4,2018,5,"Queens County",55.1,0,0.828193832599119
"6746",2157,2,2018,5,"Queens County",48.4,0.01,0.73568281938326
"6752",2163,3,2018,5,"Queens County",54.5,0,0.881057268722467
"6758",2169,4,2018,5,"Queens County",54,0,0.81057268722467
"6765",2176,5,2018,5,"Queens County",53.3,0.02,0.894273127753304
"6767",2178,6,2018,5,"Queens County",58,0,0.647577092511013
"6773",2184,7,2018,5,"Queens County",52.5,0,0.502202643171806
"6780",2191,1,2018,5,"Queens County",53,0.48,0.779735682819383
"6782",1828,2,2018,5,"Queens County",48.4,0,0.718061674008811
"6789",1835,3,2018,5,"Queens County",51.2,0,0.744493392070485
"6793",1839,4,2018,5,"Queens County",51,0.01,0.665198237885463
"6797",1843,5,2018,5,"Queens County",56.8,0,0.92511013215859
"6803",1849,6,2018,5,"Queens County",48.9,0,0.731277533039648
"6941",1852,5,2018,6,"Queens County",58.6,0.13,0.73568281938326
"6947",1858,6,2018,6,"Queens County",63.1,0,0.823788546255507
"6953",1864,7,2018,6,"Queens County",52.8,0,0.559471365638767
"6957",1868,1,2018,6,"Queens County",51,0.15,0.79295154185022
"6963",1874,2,2018,6,"Queens County",54.5,1.29,0.748898678414097
"6969",1880,3,2018,6,"Queens County",54.8,0,0.740088105726872
"6974",1885,4,2018,6,"Queens County",51.5,0,0.757709251101322
"6980",1891,5,2018,6,"Queens County",54.8,0,0.885462555066079
"6984",1895,6,2018,6,"Queens County",62.9,0.06,0.823788546255507
"6986",1897,7,2018,6,"Queens County",61.5,0,0.541850220264317
"6994",1905,1,2018,6,"Queens County",56.2,0,0.766519823788546
"6998",1909,2,2018,6,"Queens County",55.3,0,0.775330396475771
"7002",1913,3,2018,6,"Queens County",59.4,0,0.740088105726872
"7008",1919,4,2018,6,"Queens County",63.8,0.18,0.933920704845815
"7013",1924,5,2018,6,"Queens County",59,0,0.66079295154185
"7020",1931,6,2018,6,"Queens County",62.8,0.01,0.797356828193833
"7022",1933,7,2018,6,"Queens County",66.7,0,0.845814977973568
"7028",1939,1,2018,6,"Queens County",62.9,0,0.854625550660793
"7032",1943,2,2018,6,"Queens County",67.7,0.03,0.929515418502203
"7036",1947,3,2018,6,"Queens County",62.8,0,0.748898678414097
"7043",1954,4,2018,6,"Queens County",63.4,0.09,0.841409691629956
"7049",1960,5,2018,6,"Queens County",61.1,0.11,0.784140969162996
"7055",1966,6,2018,6,"Queens County",59.2,0.16,0.625550660792952
"7056",1967,7,2018,6,"Queens County",62.7,1.03,0.665198237885463
"7061",1972,1,2018,6,"Queens County",63.8,0.25,0.863436123348018
"7069",1980,2,2018,6,"Queens County",60.7,0.02,0.854625550660793
"7071",1982,3,2018,6,"Queens County",62.7,0,0.607929515418502
"7080",1991,4,2018,6,"Queens County",64.1,0.13,0.770925110132159
"7084",1995,5,2018,6,"Queens County",68,0.96,0.779735682819383
"7088",1999,6,2018,6,"Queens County",71.1,0,0.687224669603524
"8510",2006,7,2018,7,"Queens County",70.8,0,0.590308370044053
"8514",2010,1,2018,7,"Queens County",68.4,0,0.828193832599119
"8519",2015,2,2018,7,"Queens County",66.9,0,0.79295154185022
"8522",2018,3,2018,7,"Queens County",71.7,0,0.462555066079295
"8527",2023,4,2018,7,"Queens County",71.7,0,0.907488986784141
