"","day","temp","wdsp","NUM_TRIPS"
"375",7,16,6.1,0.758392585457504
"376",1,22.2,7.3,0.762434436914782
"377",2,27.4,7.5,0.840114567343202
"378",3,19.9,9,0.855182589575937
"379",4,26,4.8,0.864450767696502
"380",5,32.5,6.5,0.891016368222028
"381",6,34.5,9.6,0.836629215012883
"382",7,34.3,6.5,0.810453334059448
"384",2,34.3,5.7,0.762878615117035
"385",3,34.8,4.9,0.82808601740634
"386",4,32,6.6,0.873514725953962
"387",5,27.7,6.2,0.930240196595655
"388",6,32.2,12.1,0.923790252585934
"389",7,26.6,3.1,0.763954173062719
"390",1,48.3,17.4,0.722591141623071
"391",2,43,14.1,0.798697077273393
"392",3,33.7,8.6,0.843387190649453
"393",4,30.7,5.1,0.902165070915347
"394",5,19.7,22.2,1
"395",6,13,12.7,0.984807744017209
"396",7,21.3,7.4,0.798513279396598
"404",1,25.4,10.8,0.714590828485948
"405",2,27.4,9.5,0.771915344059414
"407",4,32.4,13.6,0.775526631971981
"408",5,27.4,6.5,0.872614456724109
"409",6,24.7,5.9,0.910839309600716
"410",7,29.4,12.2,0.831664970507248
"411",1,32.1,14.3,0.700036759575359
"412",2,32.8,6.6,0.775031398803952
"413",3,31.5,11.9,0.824595559579443
"414",4,34.7,11,0.852032498187549
"415",5,34.3,13.9,0.89430941351459
"416",6,34.9,8.7,0.86935034257882
"417",7,34.8,10.1,0.741576781563031
"418",1,33.5,8.9,0.725761654997771
"419",2,33.9,7.2,0.846144158801366
"420",3,41,16.4,0.820643905228369
"421",4,40,7.9,0.776299263787394
"423",6,33,7.5,0.825810667764916
"424",7,32.9,4.2,0.737126490379543
"432",1,41.1,7.9,0.722769834003288
"433",2,41.8,7.1,0.770441557380676
"434",3,35.4,3.3,0.808719167055252
"435",4,37,4.7,0.864923877046028
"436",5,42.4,8.2,0.909151092065718
"437",6,40.7,14.9,0.952147882410203
"438",7,46.7,23.5,0.691633112208604
"439",1,43,16.8,0.74022893046654
"440",2,39.7,15.5,0.77647795616761
"441",3,39.7,5.3,0.803586441162556
"442",4,46.7,9.2,0.875100833557408
"443",5,48.4,5.4,0.871698871004523
"444",6,49.4,5.7,0.864934088039183
"445",7,48.6,7.5,0.744937900143294
"446",1,44.9,2.8,0.729786488133124
"447",2,48.2,9,0.754633238144186
"448",3,44.5,14,0.772912617724242
"449",4,46.5,10,0.819318177950381
"450",5,42.4,15.2,0.895395182453429
"451",6,30.9,11.3,0.868989554154002
"452",7,31.6,6.3,0.745033202746076
"453",1,47.1,16.8,0.694461557312603
"454",2,50.7,16.2,0.778098100414907
"455",3,44.9,9,0.768140680256364
"456",4,47.1,10.3,0.869055925609511
"457",5,46.1,3.1,0.877056238746635
"458",6,48,5.6,0.843696924108495
"459",7,51,8.9,0.687952049176143
"460",1,55,7.5,0.716168426928431
"461",2,56.2,7.3,0.805739258886117
"462",3,59.1,9.8,0.86635341608776
"463",4,55.7,7,0.904916933570682
"464",5,55.3,12.8,0.966329250070626
"465",6,45.6,15.1,0.922580249897039
"466",7,51.8,14.6,0.765092698799528
"467",1,47.9,4.6,0.750737744255465
"468",2,43.6,5.2,0.837829006708622
"469",3,44.8,5.6,0.857614507779075
"470",4,48.4,10.9,0.914947532513504
"471",5,40.8,5.6,0.981385359478014
"472",6,40,7.9,0.917685780511298
"473",7,41.4,4.3,0.784689296496608
"474",1,45.6,6,0.768598473116157
"475",2,51,7.3,0.843553970204322
"476",3,52.4,5.5,0.882605913526503
"477",4,54.4,9.1,0.901029948842924
"478",5,50.2,7.7,0.939050581856427
"479",6,49.2,7.1,0.908060217630301
"480",7,49.9,9.7,0.823690184853013
"481",1,48.1,9.4,0.830233729633323
"482",2,46.9,7.9,0.864280584477248
"483",3,41.7,12.8,0.89530158168284
"484",4,48.9,14.9,0.907299498640236
"485",5,52.9,10,0.940696253586611
"486",6,60.1,4.2,0.926514885926188
"487",7,60.9,8.5,0.78566955183951
"488",1,60.6,13.6,0.797660661468137
"489",2,63.9,8.6,0.845420880119537
"490",3,61.9,11.6,0.898706947900109
"491",4,57.9,13.4,0.940041048192484
"492",5,57.8,10.8,0.928674510978519
"493",6,54.3,10.2,0.924617343031508
"494",7,49,14.8,0.796595314515607
"495",1,44.8,9.2,0.807104128304533
"496",2,42.8,5.8,0.871734609480567
"497",3,46.6,5.8,0.921332806899908
"498",4,46.7,6,0.912532632632292
"499",5,53.1,9.7,0.971104591202889
"500",6,60.6,10.2,0.936281700879167
"501",7,58.6,5.5,0.805468667567503
"502",1,56.5,6.8,0.820672836375642
"503",2,51.4,5.1,0.895339021991076
"504",3,52.4,9.6,0.890842781338389
"505",4,59.7,7.6,0.917353923233753
"506",5,61.7,7,0.954989942171742
"507",6,62,9.3,0.906943815711996
"508",7,64.7,7.2,0.757832682666158
"509",1,63.4,5.8,0.795863526672816
"510",2,65.4,7.6,0.857633227933193
"511",3,76.9,7.5,0.894084771665175
"512",4,61.6,8.4,0.905063291139241
"513",5,59.4,6,0.84999540505308
"514",6,60.1,10.1,0.697259369437136
"517",2,65.3,13,0.738052287092284
"518",3,63.3,7.1,0.806733128886559
"519",4,62.1,9.3,0.86237793608599
"520",5,66.7,6.2,0.879120561196184
"521",6,65.4,7.8,0.846077787345857
"522",7,70.2,11.5,0.762368065459273
"523",1,63,8.6,0.792464967784317
"524",2,59.7,6.3,0.859176789731825
"525",3,58.1,4.9,0.906651100574879
"526",4,55.2,8.7,0.898135132283416
"527",5,58.8,6,0.920589106231769
"528",6,59.8,7.6,0.865136606070095
"529",7,61.9,6.6,0.699262425927754
"530",1,60.5,5.7,0.770378589589552
"531",2,63.8,7,0.840928043131235
"532",3,62.7,7.1,0.878684892154894
"533",4,66.4,10.1,0.906404334906961
"534",5,67,5.3,0.919304222926403
"535",6,68.4,7.3,0.841310955374556
"536",7,68.7,11.1,0.733583275754678
"537",1,72.5,5.4,0.777883669558647
"538",2,70.8,5.4,0.853043386509917
"539",3,72.6,8.4,0.89231826984932
"540",4,72.9,9,0.929607115020031
"541",5,70.9,6.3,0.921322595906753
"542",6,69.9,7.9,0.876559303746413
"543",7,70.7,5,0.753486203246415
"544",1,76.1,14,0.811052378991222
"545",2,76.2,9.4,0.844903523133005
"546",3,68.7,8.3,0.842963434433511
"547",4,64,8.6,0.839345339192174
"548",5,64.1,7.3,0.759085231159867
"552",2,80.1,4.9,0.775300288290373
