"","day_index","day","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"1291",141,1,2013,5,53.1,9.9,11.9,0.43359375
"1295",142,2,2013,5,51,9.8,11.8,0.41015625
"1310",143,7,2013,5,50.2,9.3,13.9,0.1953125
"1314",144,3,2013,5,57.9,4.9,10.9,0.427734375
"1318",145,1,2013,5,56.9,10,14.1,0.126953125
"1320",146,5,2013,5,58.2,9.9,10.7,0.75390625
"1321",147,4,2013,5,57.7,7.1,12.5,0.3984375
"1325",148,3,2013,5,53.1,10,12.1,0.345703125
"1330",149,6,2013,5,47.8,10,13.7,0.439453125
"1334",150,5,2013,5,46.9,9.9,13.7,0.646484375
"1357",151,5,2013,5,61,2.1,14,0.611328125
"1418",152,1,2013,6,62.2,9.3,6,0.525390625
"1419",153,3,2013,6,58.6,9.8,5.7,0.4765625
"1434",154,5,2013,6,62,10,8.3,0.654296875
"1466",155,2,2013,6,60.9,3.1,4.9,0.50390625
"1469",156,4,2013,6,60.6,9.6,5.6,0.63671875
"1478",157,6,2013,6,63.4,10,8.2,0.4765625
"1491",158,7,2013,6,63.6,6.9,8.1,0.34765625
"1492",159,4,2013,6,65.5,3.1,5.4,0.474609375
"1493",160,6,2013,6,62.4,10,7.4,0.470703125
"1494",161,1,2013,6,63.2,7,9.1,0.505859375
"1496",162,2,2013,6,69.7,8.4,10.2,0.572265625
"1498",163,4,2013,6,58.6,10,7.5,0.48828125
"1501",164,7,2013,6,64.9,9.8,9,0.29296875
"1510",165,7,2013,6,65.4,1.9,8.8,0.1328125
"1521",166,2,2013,6,61.8,7.5,8.7,0.50390625
"1529",167,6,2013,6,60.9,7,10.9,0.5390625
"1531",168,4,2013,6,60.8,10,8.7,0.349609375
"1535",169,7,2013,6,61.3,8.9,9.2,0.23828125
"1543",170,1,2013,6,66.8,2.8,12.1,0.634765625
"1548",171,3,2013,6,69.5,6.1,9.9,0.51953125
"1563",172,2,2013,6,60.8,1.8,13.2,0.546875
"1569",173,7,2013,6,61.8,4.6,12.6,0.2578125
"1576",174,5,2013,6,56.1,7.7,11.8,0.8515625
"1594",175,3,2013,6,64,8.1,14,0.5078125
"1602",176,6,2013,6,66.2,1.4,13.7,0.4609375
"1604",177,1,2013,6,60.8,2,12.7,0.6875
"1615",178,3,2013,6,62.6,8.4,12.2,0.521484375
"1628",179,6,2013,6,62.3,4.8,19.1,0.421875
"1629",180,5,2013,6,66.1,2.1,12.9,0.494140625
"1630",181,5,2013,6,55,7,18.3,0.66015625
"1679",182,1,2013,7,68.3,5.6,5.1,0.4609375
"1680",183,3,2013,7,70.6,10,6.7,0.38671875
"1689",184,3,2013,7,72.9,9.9,5.6,0.49609375
"1700",185,1,2013,7,76.3,9.3,5.7,0.44140625
"1710",186,6,2013,7,67.9,3.3,6.2,0.4296875
"1722",187,1,2013,7,69.2,6.5,5.3,0.47265625
"1759",188,2,2013,7,71.2,7.8,7.8,0.447265625
"1767",189,3,2013,7,71.1,1.9,7.1,0.505859375
