"","day","day_index","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"946",7,473,2014,4,48,8.8,13.4,0.591517857142857
"947",3,474,2014,4,52.2,7,14.4,0.379464285714286
"956",2,475,2014,4,44.2,10,9.2,0.109375
"959",1,476,2014,4,44.9,9.4,12.2,0.455357142857143
"971",1,477,2014,4,44.8,7.7,13.8,0.526785714285714
"979",3,478,2014,4,46.5,10,13.7,0.564732142857143
"994",6,479,2014,4,37.5,10,15.2,0.366071428571429
"1006",4,480,2014,4,44.2,10,16.5,0.470982142857143
"1012",4,481,2014,4,52.6,6.6,16,0.241071428571429
"1025",4,482,2014,4,47.7,1.9,14.7,0.584821428571429
"1038",5,483,2014,4,42.9,7.9,19.2,0.504464285714286
"1049",4,484,2014,4,37.1,9.3,17.6,0.457589285714286
"1053",6,485,2014,4,49.6,10,19.1,0.540178571428571
"1118",2,486,2014,5,53.7,10,5.4,0.285714285714286
"1125",7,487,2014,5,49.7,10,5.7,0.683035714285714
"1127",5,488,2014,5,56.3,10,6,0.515625
"1133",4,489,2014,5,52.2,9.6,5.7,0.493303571428571
"1138",5,490,2014,5,51.6,10,6.8,0.578125
"1146",6,491,2014,5,52,9.6,7.5,0.5625
"1148",7,492,2014,5,54.9,10,7.3,0.705357142857143
"1155",1,493,2014,5,50.9,9.1,6.4,0.549107142857143
"1169",6,494,2014,5,50.3,8.6,6,0.555803571428571
"1173",3,495,2014,5,57.8,9.8,9.1,0.529017857142857
"1179",7,496,2014,5,51.5,8.7,6.7,0.535714285714286
"1184",3,497,2014,5,53.7,10,10.2,0.611607142857143
"1186",1,498,2014,5,54.8,7.1,11.1,0.457589285714286
"1200",7,499,2014,5,51.9,6.4,10.2,0.790178571428571
"1202",3,500,2014,5,56.7,9.6,10.3,0.198660714285714
"1205",2,501,2014,5,56.5,9.8,8.5,0.363839285714286
"1211",7,502,2014,5,58.3,9.1,11.8,0.794642857142857
"1212",6,503,2014,5,57.8,10,9.6,0.703125
"1219",5,504,2014,5,51.2,10,9.8,0.65625
"1231",3,505,2014,5,56.9,10,9,0.508928571428571
"1240",4,506,2014,5,61.1,9.5,10,0.671875
"1275",6,507,2014,5,52,10,11.2,0.712053571428571
"1294",6,508,2014,5,50.3,3.2,13.3,0.683035714285714
"1300",2,509,2014,5,58.3,8.6,12.6,0.535714285714286
"1305",1,510,2014,5,57.7,5.8,12.5,0.613839285714286
"1324",4,511,2014,5,56.4,9.9,10.4,0.683035714285714
"1328",2,512,2014,5,51.4,9.8,12.8,0.238839285714286
"1337",4,513,2014,5,51.8,10,14.1,0.482142857142857
"1340",5,514,2014,5,51.1,2.6,15.2,0.433035714285714
"1350",1,515,2014,5,53.9,10,12.4,0.542410714285714
"1356",1,516,2014,5,54.6,10,15,0.316964285714286
"1405",1,517,2014,6,62.2,9.5,4.8,0.595982142857143
"1406",2,518,2014,6,64.9,9.8,4.8,0.383928571428571
"1410",2,519,2014,6,64.7,9.5,5,0.430803571428571
"1420",4,520,2014,6,63.8,8.7,5.6,0.502232142857143
"1425",3,521,2014,6,62.1,10,4.1,0.669642857142857
"1427",6,522,2014,6,67.3,9.7,6.5,0.738839285714286
"1431",3,523,2014,6,61.2,7.1,5.6,0.410714285714286
"1438",2,524,2014,6,63.2,9.9,6,0.296875
"1445",1,525,2014,6,66.5,4.8,5.7,0.600446428571429
"1452",7,526,2014,6,64.6,9.8,6,0.939732142857143
"1460",5,527,2014,6,55.2,7.6,8.3,0.53125
"1461",4,528,2014,6,62.5,10,8.2,0.71875
"1465",4,529,2014,6,60,10,5.3,0.642857142857143
"1476",1,531,2014,6,65.6,9.9,8.6,0.622767857142857
"1477",1,532,2014,6,59.9,10,5.1,0.475446428571429
"1490",5,533,2014,6,66.8,9.9,8.3,0.674107142857143
"1504",2,534,2014,6,66.1,10,10.9,0.292410714285714
"1518",3,535,2014,6,57.4,10,6.8,0.667410714285714
"1520",3,536,2014,6,65.2,10,7.5,0.620535714285714
"1534",4,537,2014,6,58.2,10,8.8,0.712053571428571
"1536",5,538,2014,6,61.2,9.3,11.3,0.517857142857143
"1550",2,539,2014,6,58.4,10,11,0.580357142857143
"1552",7,540,2014,6,61.3,9.8,10,0.890625
"1570",7,541,2014,6,61.7,4,14.4,0.8125
"1589",6,542,2014,6,60,5.8,7.1,0.502232142857143
"1607",7,543,2014,6,63.9,9.8,13.6,0.705357142857143
"1608",5,544,2014,6,71.6,6.4,10.1,0.712053571428571
"1610",6,545,2014,6,61,10,13.4,0.488839285714286
"1616",6,546,2014,6,66.7,3.5,10.2,0.727678571428571
"1663",7,547,2014,7,69.6,9.6,5,0.625
"1677",7,548,2014,7,69.1,6.5,4.3,0.665178571428571
"1678",6,549,2014,7,70.4,7.7,4.5,0.542410714285714
"1685",7,550,2014,7,67.4,10,5.9,0.689732142857143
"1713",1,551,2014,7,65.7,9.9,4.4,0.459821428571429
"1723",1,552,2014,7,65,10,5,0.303571428571429
"1727",1,553,2014,7,66.9,9.8,6.9,0.424107142857143
"1729",4,554,2014,7,67.1,5.9,5.4,0.542410714285714
"1752",5,555,2014,7,67.3,9.3,5.5,0.582589285714286
"1757",6,556,2014,7,67.7,9.6,6.3,0.629464285714286
"1780",6,557,2014,7,69.1,1.8,8.5,0.883928571428571
"1795",4,558,2014,7,68.6,9.8,9.1,0.607142857142857
"1807",2,559,2014,7,65.2,9.1,10,0.238839285714286
"1822",2,560,2014,7,68.6,9.9,7.6,0.294642857142857
"1823",2,561,2014,7,68.7,9.8,9.7,0.212053571428571
"1825",6,562,2014,7,69.6,6.4,8.5,0.435267857142857
"1829",5,563,2014,7,69,7.2,10.2,0.700892857142857
"1850",3,565,2014,7,69.7,7.4,12,0.497767857142857
"1868",4,566,2014,7,69.5,6.2,11.8,0.558035714285714
"1872",4,567,2014,7,68.9,9.6,10.5,0.40625
"1875",4,568,2014,7,71.4,5.8,13.1,0.542410714285714
"1876",3,569,2014,7,68.6,9.4,13.9,0.602678571428571
"1886",5,570,2014,7,70.4,6,13.7,0.462053571428571
"1889",3,571,2014,7,65.9,6,12.8,0.475446428571429
"1895",3,572,2014,7,69.4,4.8,10,0.560267857142857
"1910",6,573,2014,7,69.4,5.4,6.1,0.535714285714286
"1921",2,574,2014,7,68.2,10,14.1,0.238839285714286
"1927",5,575,2014,7,69.4,5.1,12.3,0.502232142857143
"1940",7,576,2014,7,69.9,3.9,9.8,0.0357142857142857
"1941",1,577,2014,7,67,8.4,21.2,0.359375
"1979",4,578,2014,8,63.9,8.8,4.1,0.383928571428571
"1980",2,579,2014,8,69.1,9.8,4.6,0.375
"1983",3,580,2014,8,63.3,10,3.8,0.457589285714286
"1994",4,581,2014,8,63,10,3.5,0.589285714285714
"2004",3,582,2014,8,66.3,7.8,3.6,0.580357142857143
"2008",5,583,2014,8,70.1,4.4,4.3,0.486607142857143
"2009",7,584,2014,8,67.5,9,5.3,0.720982142857143
"2010",1,585,2014,8,70.4,9.9,6.4,0.433035714285714
"2017",1,586,2014,8,60.1,10,6.3,0.370535714285714
"2038",2,587,2014,8,66.4,6,5.1,0.294642857142857
"2072",4,588,2014,8,69.2,3.7,6.6,0.584821428571429
"2078",1,589,2014,8,66.3,9.7,8.2,0.325892857142857
"2084",5,590,2014,8,67.5,6.5,7.3,0.433035714285714
"2091",6,591,2014,8,67.1,10,7.7,0.497767857142857
"2099",2,592,2014,8,68.3,8.3,6.8,0.294642857142857
"2102",3,593,2014,8,68.2,6,5.2,0.546875
"2107",4,594,2014,8,67.2,10,7.8,0.328125
"2109",5,595,2014,8,63.8,9.9,6,0.462053571428571
"2110",3,596,2014,8,67.9,9.8,7.8,0.560267857142857
"2113",2,597,2014,8,69.1,9.4,9,0.337053571428571
"2124",7,598,2014,8,63.9,7.9,7.9,0.5
"2137",7,599,2014,8,66.3,10,7.4,0.573660714285714
"2160",7,600,2014,8,66.8,10,8.8,0.397321428571429
"2169",6,601,2014,8,67.8,9.1,9.7,0.627232142857143
"2174",1,602,2014,8,64.3,8.8,6.5,0.4375
"2177",6,603,2014,8,69.3,9.2,6.3,0.537946428571429
"2199",2,604,2014,8,63.9,10,9,0.207589285714286
"2222",1,605,2014,8,65.6,9.8,10.8,0.245535714285714
"2223",7,606,2014,8,67.2,10,10.8,0.640625
"2228",6,607,2014,8,71,6.8,8.8,0.611607142857143
"2244",5,608,2014,8,66.6,8.4,15.5,0.508928571428571
"2285",3,609,2014,9,57.5,10,3.6,0.59375
"2310",4,610,2014,9,61.2,10,6.5,0.600446428571429
"2316",4,611,2014,9,71.1,1.7,6.8,0.794642857142857
"2318",1,612,2014,9,63.5,9.9,6.2,0.571428571428571
"2320",2,613,2014,9,63.3,9.9,4.4,0.375
"2322",3,614,2014,9,65.9,9.2,6.7,0.495535714285714
"2332",6,615,2014,9,61.1,10,5,0.683035714285714
"2342",6,616,2014,9,69.4,9.9,5.2,0.854910714285714
"2352",1,617,2014,9,57,10,7.7,0.558035714285714
"2364",6,618,2014,9,64.4,9.7,6.4,0.613839285714286
"2368",5,619,2014,9,61.9,9.8,4.6,0.700892857142857
"2372",2,620,2014,9,66.1,8.1,8.1,0.381696428571429
"2388",7,621,2014,9,70.3,8.7,7.5,0.676339285714286
"2393",5,622,2014,9,74,8.1,9.7,0.526785714285714
"2413",1,623,2014,9,72,6.9,10.7,0.466517857142857
"2415",5,624,2014,9,58.9,10,6.7,0.495535714285714
"2416",1,625,2014,9,59.9,9.6,7.6,0.477678571428571
"2420",6,626,2014,9,59.7,8.6,8.9,0.328125
"2422",4,627,2014,9,64.6,10,10.9,0.553571428571429
"2436",4,628,2014,9,59,10,9.3,0.553571428571429
"2438",3,629,2014,9,63.6,10,7.8,0.566964285714286
"2453",5,630,2014,9,66.2,10,11.3,0.611607142857143
"2465",2,631,2014,9,62.2,10,9.6,0.410714285714286
"2468",4,632,2014,9,63.3,6.7,7,0.546875
"2473",7,633,2014,9,67.1,9.7,11.4,0.861607142857143
"2480",7,634,2014,9,57.2,10,12.5,0.678571428571429
"2482",3,635,2014,9,71.5,6.8,9.3,0.107142857142857
"2494",2,636,2014,9,70.1,9,11,0.296875
"2497",7,637,2014,9,63.1,7.9,15.8,0.667410714285714
"2518",3,638,2014,9,67.9,8.2,12.3,0.709821428571429
"2563",3,639,2014,10,50.9,10,4.2,0.238839285714286
"2569",4,640,2014,10,54.3,9.9,6.1,0.506696428571429
"2570",4,641,2014,10,63.2,10,8.2,0.787946428571429
"2592",1,642,2014,10,59.4,6.8,5.7,0.417410714285714
"2603",5,643,2014,10,64.9,9.9,9.5,0.515625
"2605",1,644,2014,10,62.7,9,7.5,0.334821428571429
"2615",3,645,2014,10,55.7,10,6.9,0.658482142857143
"2620",4,646,2014,10,63,10,11.5,0.616071428571429
"2622",5,647,2014,10,61.9,8,9.8,0.473214285714286
"2631",2,648,2014,10,53.3,10,9.2,0.287946428571429
"2649",7,649,2014,10,51.3,10,7.9,0.723214285714286
"2655",5,650,2014,10,62.4,7.1,13.2,0.479910714285714
"2659",6,651,2014,10,56.1,9.4,8.9,0.629464285714286
"2660",7,652,2014,10,59,10,8.9,0.439732142857143
"2665",4,653,2014,10,57.7,9.3,10.5,0.587053571428571
"2680",7,654,2014,10,63.2,7.9,9.7,0.678571428571429
"2682",1,655,2014,10,52.9,8.1,8.1,0.450892857142857
"2685",2,656,2014,10,59.6,9.6,11,0.359375
"2689",6,657,2014,10,65,6.6,12,0.575892857142857
"2693",3,658,2014,10,54.1,10,12,0.665178571428571
"2696",3,659,2014,10,49,10,11.8,0.551339285714286
"2703",2,660,2014,10,57.6,10,13.1,0.381696428571429
"2706",7,661,2014,10,58.5,9.2,13.1,0.837053571428571
"2716",6,662,2014,10,59.5,8.7,10.7,0.658482142857143
"2723",1,663,2014,10,54.7,10,10.7,0.381696428571429
"2740",2,664,2014,10,56,10,10.7,0.310267857142857
"2754",5,665,2014,10,57,6.1,12.8,0.8125
"2757",6,666,2014,10,60.8,9.7,12.6,0.345982142857143
"2758",7,667,2014,10,54.3,7.6,15.7,0.725446428571429
"2763",6,668,2014,10,59.9,9.4,17.6,0.477678571428571
"2803",5,669,2014,10,65.2,9.4,12.3,0.658482142857143
"2825",3,670,2014,11,48.2,9.6,4,0.482142857142857
"2851",5,671,2014,11,56.5,6,5.2,0.450892857142857
"2858",4,672,2014,11,51,9.5,8.2,0.332589285714286
"2874",1,673,2014,11,30.9,10,6.6,0.111607142857143
"2879",2,674,2014,11,46.1,9.9,9.8,0.0736607142857143
"2885",4,675,2014,11,52.7,10,6.9,0.433035714285714
"2891",5,676,2014,11,57.7,9.3,11.1,0.46875
"2892",6,677,2014,11,53.6,9.4,5.6,0.6875
"2894",2,678,2014,11,38.1,10,5.6,0.189732142857143
"2900",1,679,2014,11,37,10,10.7,0.412946428571429
"2927",2,680,2014,11,53.2,10,9.1,0.167410714285714
"2940",7,681,2014,11,43.7,9.7,11.1,0.691964285714286
"2959",5,682,2014,11,33.6,10,14.4,0.645089285714286
"2961",4,683,2014,11,56.7,3.6,11.2,0.569196428571429
"2972",1,684,2014,11,43.9,10,13.9,0.444196428571429
"2987",7,685,2014,11,52.5,7.9,11.7,0.662946428571429
"3004",7,686,2014,11,36.8,10,15.8,0.743303571428571
"3005",7,687,2014,11,37,9.3,12.6,0.223214285714286
"3006",6,688,2014,11,45.7,9.8,16.1,0.649553571428571
"3030",3,689,2014,11,52.1,6.5,9.5,0.71875
"3046",3,690,2014,11,44.6,10,18.9,0.627232142857143
"3052",4,691,2014,11,48.9,7.8,17.1,0.821428571428571
"3053",2,692,2014,11,52.6,8.9,18.3,0.180803571428571
"3055",3,693,2014,11,54.8,4.5,15.5,0.84375
"3057",6,694,2014,11,41.8,8.6,13.8,0.0758928571428571
"3061",1,695,2014,11,37.1,10,15.9,0.375
"3064",1,696,2014,11,53,8.8,18.8,0.696428571428571
"3076",5,697,2014,11,48,6.7,11.9,0.888392857142857
"3077",2,698,2014,11,43.5,6.3,32.8,0.419642857142857
"3080",6,699,2014,11,49.8,8.6,8.4,0.785714285714286
"3104",4,700,2014,12,44,9.6,4.2,0.671875
"3109",2,701,2014,12,41.4,9.8,7.1,0.145089285714286
"3118",1,702,2014,12,43.7,10,7.4,0.138392857142857
"3119",3,703,2014,12,37.8,9.9,5.8,0.839285714285714
"3124",1,704,2014,12,38.2,10,8.3,0.359375
"3125",3,705,2014,12,41.2,9.9,8.4,0.149553571428571
"3127",5,706,2014,12,26.9,9.9,7.5,0.261160714285714
"3142",1,707,2014,12,36.9,9.9,9.8,0.558035714285714
"3146",7,708,2014,12,39.3,9.8,9.3,0.734375
"3148",3,709,2014,12,53.2,7.4,9.8,0.669642857142857
"3158",7,710,2014,12,37,10,8.2,0.765625
"3167",5,711,2014,12,48.6,8,8.8,0.470982142857143
"3178",3,712,2014,12,42.9,9.7,7.5,0.495535714285714
"3184",4,713,2014,12,47.4,6.6,11.1,0.866071428571429
"3190",7,714,2014,12,44.8,10,10.4,0.227678571428571
"3199",4,715,2014,12,32.1,10,11.9,0.279017857142857
"3200",2,716,2014,12,47,9.5,10.7,0.0111607142857143
"3202",2,717,2014,12,39,10,10.9,0.212053571428571
"3204",7,718,2014,12,37.3,10,9.6,0.6875
"3205",5,719,2014,12,47.9,8.4,8.6,0.680803571428571
"3233",5,720,2014,12,50.7,2.1,10.2,0.390625
"3237",1,721,2014,12,48.9,6.8,9.8,0.633928571428571
"3259",4,722,2014,12,42.5,9.9,14.9,0.595982142857143
"3268",6,723,2014,12,42.4,10,14.1,0.618303571428571
"3272",5,724,2014,12,51.2,6.1,14.5,0.502232142857143
"3304",6,726,2014,12,43.1,9.9,11.5,0.584821428571429
"3335",6,727,2014,12,40.8,9.5,19.3,0.725446428571429
"3345",4,728,2014,12,48.7,5.8,19.6,0.671875
"3351",3,729,2014,12,35.4,10,19.6,0.524553571428571
"3357",2,730,2014,12,41.9,8,25,0.332589285714286
"59",6,731,2015,1,35.5,8.4,8.4,0.341513292433538
"66",5,732,2015,1,32.3,10,7.9,0.314928425357873
"67",6,733,2015,1,29.2,10,8.5,0.3640081799591
"75",5,734,2015,1,32.1,8,9.6,0.337423312883436
"87",3,736,2015,1,40.9,7.7,6.3,0.488752556237219
"97",7,737,2015,1,35.1,8.4,8.1,0.574642126789366
"110",7,738,2015,1,31.6,10,10.4,0.525562372188139
"114",1,739,2015,1,26.9,10,10.2,0.286298568507157
"124",6,740,2015,1,35.8,2.8,14.1,0.423312883435583
"133",1,741,2015,1,34.5,9.5,11.1,0.235173824130879
"159",7,742,2015,1,40.4,10,13.1,0.206543967280164
"172",4,743,2015,1,35.7,10,13.1,0.325153374233129
"189",1,744,2015,1,20.2,10,13.3,0.314928425357873
"191",4,745,2015,1,20.8,8.8,10.3,0.89161554192229
"196",6,746,2015,1,13.1,9.9,14.8,0.474437627811861
"204",2,747,2015,1,36.5,9.4,16,0.132924335378323
"209",4,748,2015,1,32.6,8.4,16.3,0.556237218813906
"213",2,749,2015,1,48.6,1.9,15.5,0.081799591002045
"219",6,750,2015,1,31.8,9.9,13.6,0.110429447852761
"220",3,751,2015,1,31.2,6.7,12.7,0.292433537832311
"227",7,753,2015,1,34.5,10,14.9,0.45398773006135
"228",3,754,2015,1,41.7,8.2,13.5,0.316973415132924
"230",1,755,2015,1,38.5,6.7,12.4,0.177914110429448
"237",5,756,2015,1,22.6,9.4,12.1,0.402862985685072
"241",1,757,2015,1,24.5,7.8,20.3,0.378323108384458
"254",3,758,2015,1,44,7.6,16.3,0.321063394683027
"264",5,759,2015,1,21.6,6.6,16.6,0.239263803680982
"277",7,760,2015,1,35.2,9.5,21,0.838445807770961
"323",2,762,2015,2,34.5,7.6,6,0.10838445807771
"330",1,763,2015,2,22.2,10,7.2,0.402862985685072
"335",5,764,2015,2,28.1,10,7.6,0.498977505112474
"339",5,765,2015,2,30.6,10,8.8,0.582822085889571
"355",6,766,2015,2,31,8.9,9.5,0.378323108384458
"370",7,767,2015,2,24.2,10,9.3,0.740286298568507
"371",1,768,2015,2,21.9,10,8.5,0.359918200408998
"375",4,769,2015,2,21.7,6.5,7.7,0.570552147239264
"383",1,770,2015,2,27.4,9.5,10.3,0.220858895705521
"423",3,771,2015,2,29.4,6,8.9,0.476482617586912
"441",4,772,2015,2,14.3,10,11.9,0.488752556237219
"443",3,773,2015,2,37.1,6.3,14.9,0.421267893660532
"445",5,774,2015,2,29.9,7.9,12.4,0.586912065439673
"449",1,775,2015,2,20.6,8.6,8.4,0.194274028629857
"466",2,776,2015,2,36,2.6,7.7,0.3640081799591
"482",7,777,2015,2,14.1,9.5,18.8,0.572597137014315
"484",7,778,2015,2,21.8,8.1,16.2,0.850715746421268
"490",2,779,2015,2,24.8,10,16.8,0.0408997955010225
"493",6,780,2015,2,27,6.9,11,0.355828220858896
"496",6,781,2015,2,28,7.5,12,0.404907975460123
"500",7,782,2015,2,16.8,9.8,15.8,0.6359918200409
"505",3,783,2015,2,33.1,5.7,12.8,0.693251533742331
"506",4,784,2015,2,36.4,7.4,21.1,0.470347648261759
"513",6,785,2015,2,34.1,7.2,12.9,0.466257668711656
"515",5,786,2015,2,32.6,9.9,23.9,0.550102249488753
"516",3,787,2015,2,10.7,8.6,22.7,0.124744376278119
"524",4,788,2015,2,21,9.3,17.6,0.815950920245399
"532",2,789,2015,2,25.7,4.6,19.6,0.231083844580777
"562",2,790,2015,3,23.1,9.1,5.1,0.719836400817996
"568",5,791,2015,3,33.6,9.9,6.7,0.402862985685072
"576",4,792,2015,3,31.4,10,6.7,0.531697341513292
"584",7,793,2015,3,30.3,9,6.3,0.468302658486708
"587",4,794,2015,3,36.5,9.9,6,0.496932515337423
"588",1,795,2015,3,34.2,7,8.5,0.339468302658487
"595",3,796,2015,3,36.8,9.8,11,0.439672801635992
"611",6,797,2015,3,32.7,1.6,10,1
"626",4,798,2015,3,27,10,10.8,0.593047034764826
"631",2,799,2015,3,33.8,9.2,8,0.251533742331288
"661",6,800,2015,3,42.6,4.2,12.8,0.376278118609407
"664",2,801,2015,3,34.9,9.5,10.6,0.335378323108384
"670",5,802,2015,3,42.1,5,12.3,0.458077709611452
"685",3,804,2015,3,33.4,6.8,10.9,0.631901840490798
"686",5,805,2015,3,36.1,3.1,14.8,0.476482617586912
"690",7,806,2015,3,31.1,10,12.3,0.548057259713701
"692",7,807,2015,3,42.4,5.1,13.1,0.390593047034765
"696",4,808,2015,3,39.4,9.8,13.6,0.586912065439673
"697",3,809,2015,3,35.6,9.6,9.5,0.65439672801636
"698",1,810,2015,3,37.4,7.8,12.7,0.241308793456033
"704",2,811,2015,3,38.5,7,12.3,0.241308793456033
"709",1,812,2015,3,38.7,5.8,10.8,0.339468302658487
"713",1,813,2015,3,25,9.9,10.9,0.484662576687117
"721",3,814,2015,3,27.2,10,14.9,0.501022494887526
"732",6,815,2015,3,38.1,10,14.1,0.501022494887526
"749",2,816,2015,3,35.1,9.4,15.7,0.186094069529652
"760",6,817,2015,3,27.6,10,18.3,0.492842535787321
"763",4,818,2015,3,38.6,7.9,10.1,0.38241308793456
"765",3,819,2015,3,32.9,9,17.1,0.384458077709611
"779",5,820,2015,3,31,10,21.1,0.421267893660532
"854",2,821,2015,4,46.1,9.8,7.4,0.278118609406953
"868",3,822,2015,4,45,10,9.1,0.43558282208589
"871",3,823,2015,4,43.2,9.5,6.8,0.34560327198364
"872",6,824,2015,4,46.4,10,8.6,0.447852760736196
"881",1,825,2015,4,51.9,7.3,7.7,0.539877300613497
"893",5,826,2015,4,49.3,9.8,7.8,0.69120654396728
"896",3,827,2015,4,49,10,8.9,0.443762781186094
"907",7,828,2015,4,47.5,6.9,12.5,0.69120654396728
"910",6,829,2015,4,37.1,9.9,7,0.638036809815951
"917",6,830,2015,4,48.1,10,7.8,0.611451942740286
"923",5,831,2015,4,49.8,10,8.6,0.464212678936605
"924",2,832,2015,4,45,10,10.1,0.208588957055215
"952",4,833,2015,4,44.2,8.6,9.3,0.226993865030675
"955",2,834,2015,4,41.6,10,12.5,0.165644171779141
"962",1,835,2015,4,47.8,5.1,12.4,0.480572597137014
"965",1,836,2015,4,43.7,9.9,12.9,0.513292433537832
"968",5,837,2015,4,50.6,8.3,6.9,0.519427402862986
"974",7,838,2015,4,45,5.9,14.6,0.306748466257669
"983",4,839,2015,4,49.8,8.9,10.2,0.411042944785276
"985",2,840,2015,4,46.3,9.9,11,0.265848670756646
"991",7,841,2015,4,44,10,14.6,0.685071574642127
"995",5,842,2015,4,37.9,9.8,11.5,0.627811860940695
"1001",7,843,2015,4,43.9,3.6,9.4,0.296523517382413
"1007",6,844,2015,4,46.9,9.8,13.4,0.554192229038855
"1008",5,845,2015,4,41.2,10,14.8,0.23721881390593
"1030",6,846,2015,4,39.4,4.5,18.7,0.226993865030675
"1051",4,847,2015,4,46,9.8,15.7,0.556237218813906
"1054",1,848,2015,4,47.3,4.8,13.7,0.339468302658487
"1058",4,849,2015,4,51.5,3.6,14.3,0.621676891615542
"1064",3,850,2015,4,45.2,8.5,16.2,0.591002044989775
"1128",7,851,2015,5,65.4,9.2,5.7,0.965235173824131
"1131",1,852,2015,5,54.3,4.4,6.4,0.447852760736196
"1132",1,853,2015,5,55.5,9.9,7.5,0.631901840490798
"1139",2,854,2015,5,44.5,9.9,5.3,0.437627811860941
"1159",7,855,2015,5,54.4,10,9.7,0.78118609406953
"1160",5,856,2015,5,55.3,9.7,6.8,0.464212678936605
"1164",6,857,2015,5,54,10,6.9,0.640081799591002
"1165",4,858,2015,5,51.4,2.3,8.6,0.541922290388548
"1174",7,859,2015,5,52.4,7.1,8.8,0.752556237218814
"1185",6,860,2015,5,54.8,10,7.7,0.560327198364008
"1188",6,861,2015,5,55.9,9.8,7.2,0.701431492842536
"1193",3,862,2015,5,52.2,9.9,8.8,0.613496932515337
"1197",1,863,2015,5,44.4,10,9.6,0.406952965235174
"1199",1,864,2015,5,63.3,4.2,8.5,0.574642126789366
"1210",3,865,2015,5,58.9,10,11.4,0.161554192229039
"1215",2,866,2015,5,64.7,7.1,11.2,0.437627811860941
"1236",6,867,2015,5,62.4,9.2,11.7,0.697341513292434
"1248",3,868,2015,5,57.9,0.8,11.1,0.621676891615542
"1250",4,869,2015,5,57.1,9.8,11,0.607361963190184
"1254",7,870,2015,5,53.8,9.1,9.2,0.789366053169734
"1257",3,871,2015,5,53.9,5.7,9.4,0.460122699386503
"1260",2,872,2015,5,57,0.8,8.3,0.425357873210634
"1270",5,873,2015,5,59.5,8.7,12.2,0.642126789366053
"1282",4,874,2015,5,58.3,0.9,11.3,0.701431492842536
"1285",5,875,2015,5,62.4,8.5,13.4,0.7280163599182
"1293",2,876,2015,5,63.1,9.4,9.1,0.413087934560327
"1299",4,877,2015,5,61.1,9.8,14.4,0.705521472392638
"1304",5,878,2015,5,58.8,6.1,11.2,0.664621676891616
"1313",7,879,2015,5,43.8,9.6,13.3,0.615541922290389
"1329",2,880,2015,5,56.5,10,15.5,0.186094069529652
"1338",1,881,2015,5,54.8,10,15,0.419222903885481
"1408",6,882,2015,6,59.1,10,3.9,0.560327198364008
"1429",4,883,2015,6,67.1,9.3,7.1,0.574642126789366
"1432",7,884,2015,6,53.1,10,7.3,0.717791411042945
"1435",6,885,2015,6,68.7,10,7.4,0.67280163599182
"1440",7,886,2015,6,65.6,10,7.4,0.79959100204499
"1450",2,887,2015,6,59.5,10,7.7,0.445807770961145
"1475",5,888,2015,6,65.2,6.4,8.8,0.666666666666667
"1479",1,889,2015,6,61.5,9.2,8.4,0.519427402862986
"1481",3,890,2015,6,67.1,6.2,6.2,0.885480572597137
"1483",7,891,2015,6,67,5.9,6.8,0.224948875255624
"1487",2,892,2015,6,66.9,10,8.9,0.484662576687117
"1506",6,893,2015,6,52.2,10,7.9,0.431492842535787
"1522",1,894,2015,6,62,10,9,0.335378323108384
"1526",7,895,2015,6,66,9.9,7.9,0.885480572597137
"1542",3,896,2015,6,64.3,7.4,9.7,0.656441717791411
"1544",3,897,2015,6,57.8,8,9.9,0.337423312883436
"1546",3,898,2015,6,59.6,10,10.6,0.59918200408998
"1558",4,899,2015,6,64,7.9,14.2,0.6359918200409
"1571",4,900,2015,6,65.5,7.8,10.2,0.740286298568507
"1578",5,901,2015,6,70.8,8.2,9.4,0.893660531697341
"1583",2,902,2015,6,64.9,6.2,11.3,0.570552147239264
"1584",6,903,2015,6,64.6,9.1,11.8,0.664621676891616
"1595",4,904,2015,6,64.2,3.6,7.1,0.515337423312883
"1599",4,905,2015,6,53.4,6.6,13.7,0.615541922290389
"1600",3,906,2015,6,55.9,4.9,12.7,0.715746421267894
"1605",5,907,2015,6,53,10,13.9,0.648261758691207
"1617",1,908,2015,6,68,6,10.9,0.110429447852761
"1624",1,909,2015,6,58,8.4,11.5,0.525562372188139
"1626",5,910,2015,6,64.8,8.4,14.5,0.74642126789366
"1631",2,911,2015,6,64.4,4.3,13,0.396728016359918
"1668",3,912,2015,7,70.9,8.3,5.3,0.668711656441718
"1684",1,913,2015,7,68.5,9.7,4.4,0.224948875255624
"1690",4,914,2015,7,72.6,3.6,5.4,0.541922290388548
"1704",3,915,2015,7,71.1,9.9,8.3,0.582822085889571
"1711",7,916,2015,7,64.9,10,6,0.650306748466258
"1737",4,917,2015,7,68.1,7.4,8.2,0.623721881390593
"1739",5,918,2015,7,72.3,6.8,4.5,0.552147239263804
"1743",4,919,2015,7,72.4,9,7.2,0.61758691206544
"1762",1,920,2015,7,62.9,8,6.2,0.098159509202454
"1771",5,921,2015,7,76,5.4,6.8,0.588957055214724
"1772",7,922,2015,7,76.7,8.5,8.5,0.842535787321063
"1778",2,923,2015,7,71.4,6.9,9,0.417177914110429
"1784",6,924,2015,7,68.7,7.1,7,0.535787321063395
"1788",7,925,2015,7,71.7,10,7.5,0.304703476482618
