"","day","day_index","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"1791",4,192,2013,7,67.7,4,9.5,0.48046875
"1793",6,193,2013,7,71.8,4.9,9.5,0.380859375
"1797",5,194,2013,7,74.9,5.7,8.4,0.421875
"1806",4,195,2013,7,72.7,5.7,7,0.4453125
"1817",4,196,2013,7,72.1,3.7,8.1,0.421875
"1821",3,197,2013,7,66.7,4.1,10.4,0.54296875
"1827",6,198,2013,7,75.6,8.1,6.8,0.548828125
"1832",4,199,2013,7,77.4,8.3,7.3,0.443359375
"1834",2,200,2013,7,72.9,4.5,5.3,0.2265625
"1844",2,201,2013,7,74.4,9,9.1,0.234375
"1849",1,202,2013,7,69.1,9.6,8.8,0.314453125
"1861",5,203,2013,7,68.7,2.5,9.5,0.546875
"1862",7,204,2013,7,69.4,3.1,6.7,0.4765625
"1863",6,205,2013,7,69.8,1.8,11.9,0.162109375
"1880",1,206,2013,7,73,8.1,13.1,0.314453125
"1884",7,207,2013,7,73.9,2.8,9.6,0.66796875
"1893",1,208,2013,7,74.5,3.3,11.8,0.3828125
"1900",7,209,2013,7,71.6,6.8,12.4,0.431640625
"1902",3,210,2013,7,72.6,6.7,10.7,0.51171875
"1928",6,211,2013,7,67.7,9.7,13.8,0.296875
"1937",7,212,2013,7,66.1,6,15,0.51171875
"1981",1,213,2013,8,67.3,10,3.2,0.291015625
"1982",2,214,2013,8,64.8,8.4,3.3,0.169921875
"1988",4,215,2013,8,66.2,10,5.3,0.3671875
"2018",5,216,2013,8,66.4,3.9,6.8,0.248046875
"2022",6,217,2013,8,67.8,10,6.7,0.37890625
"2029",5,218,2013,8,64.5,9.9,5.1,0.298828125
"2035",5,219,2013,8,70.3,7.1,6.5,0.404296875
"2039",6,220,2013,8,68.9,9.8,5.3,0.5625
"2052",4,221,2013,8,71,9.5,7,0.365234375
"2062",3,222,2013,8,68.2,10,7.2,0.3203125
"2071",2,223,2013,8,69.5,10,7.5,0.24609375
"2081",2,224,2013,8,69.4,9,8.3,0.193359375
"2083",7,225,2013,8,67.4,10,8.2,0.630859375
"2106",2,226,2013,8,64,10,6.7,0.203125
"2111",1,227,2013,8,69.4,7,10.9,0.244140625
"2123",3,228,2013,8,65.5,9.5,8.1,0.208984375
"2155",6,229,2013,8,70.5,3.9,9.8,0.435546875
"2157",4,230,2013,8,68,4.5,8,0.294921875
"2163",1,231,2013,8,72.4,6.4,11.2,0.2734375
"2179",6,232,2013,8,67.2,10,10.2,0.4765625
"2181",7,233,2013,8,69.7,9.5,8.3,0.529296875
"2193",3,234,2013,8,68.1,10,12.2,0.37109375
"2200",1,235,2013,8,69.3,7.2,10.9,0.267578125
"2208",6,236,2013,8,65.7,5.8,11.3,0.423828125
"2213",4,237,2013,8,67.8,4.6,3.4,0.384765625
"2214",7,238,2013,8,65,9.9,10.8,0.4765625
"2231",3,239,2013,8,68.3,10,11.2,0.32421875
"2233",1,240,2013,8,66.2,10,10.7,0.3359375
"2234",5,241,2013,8,68.4,8.3,9.6,0.521484375
"2242",7,242,2013,8,70.7,9.3,13.1,0.4375
"2247",7,243,2013,8,70.6,7.8,12.1,0.548828125
"2297",5,244,2013,9,55.3,10,4.5,0.359375
"2300",7,245,2013,9,62.6,9.5,6.2,0.5390625
"2323",1,246,2013,9,59.2,10,7.4,0.375
"2331",5,247,2013,9,56.1,10,5.8,0.421875
"2333",4,248,2013,9,70.1,2,6.8,0.3828125
"2337",3,249,2013,9,70.8,7,7.7,0.1484375
"2354",7,250,2013,9,60.3,10,5.3,0.330078125
"2362",4,251,2013,9,54.5,10,8.4,0.5078125
