"","Kings County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"2832",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,646,281,2014,67.1,63.5,1020.4,5.9,5.4,999.9,73,60.1,0.02,0,1,0.762135922330097
"2838",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,652,287,2014,69.2,65.9,1015,9.9,9.9,20,73.9,60.1,0.01,0,0,0.66504854368932
"2843",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,657,292,2014,69.6,66.7,1009.5,6.4,8.5,28,75.9,64.4,0.04,0,1,0.601941747572815
"2850",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,664,299,2014,67.4,60.8,1013.4,10,5.9,999.9,77,61,0,0,0,0.728155339805825
"2854",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,668,303,2014,66.9,63.2,1015.8,9.8,6.9,999.9,75,61,0,0,0,0.587378640776699
"2859",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,673,308,2014,68.6,65.2,1011.4,9.9,7.6,999.9,73.9,62.1,0.01,0,0,0.529126213592233
"2866",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,680,315,2014,69.4,66.9,1003,4.8,10,26,73.9,64.9,0.01,0,1,0.728155339805825
"2871",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,685,320,2014,68.9,62.8,1007.7,9.6,10.5,999.9,73.9,64.9,0.12,0,0,0.694174757281553
"2874",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,688,323,2014,67.3,60.6,1015.5,9.3,5.5,999.9,75,59,0,0,0,0.674757281553398
"2877",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,691,326,2014,67.7,62.9,1019.8,9.6,6.3,999.9,75,59,0.01,0,0,0.737864077669903
"2882",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,696,331,2014,67.5,62.9,1023.5,9,5.3,999.9,73.9,59,0.01,0,0,0.79126213592233
"2891",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,705,340,2014,64.3,60,1022.8,8.8,6.5,19,73.9,59,0.56,0,0,0.563106796116505
"2893",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,707,342,2014,66.4,64.6,1019.1,6,5.1,999.9,70,61,0.6,0,1,0.597087378640777
"2899",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,713,348,2014,68.2,65.5,1017.7,6,5.2,999.9,73,64,0.04,0,1,0.611650485436893
"2905",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,719,354,2014,69.2,67.4,1016.2,3.7,6.6,999.9,75.9,64.9,0,0,1,0.742718446601942
"2909",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,723,358,2014,70.1,65.7,1010.1,4.4,4.3,999.9,78.1,66,0.01,0,1,0.572815533980582
"2916",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,730,365,2014,69.3,60.6,1011.1,9.2,6.3,21,77,60.1,0,0,0,0.669902912621359
"2918",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,367,2,2014,66.3,57.6,1014.9,10,7.4,999.9,77,59,0.19,0,0,0.703883495145631
"2925",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,374,9,2014,70.4,61.3,1017.2,9.9,6.4,999.9,78.1,60.1,0,0,0,0.548543689320388
"2928",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,377,12,2014,69.1,61.4,1019.2,9.8,4.6,999.9,81,57.9,0.01,0,0,0.514563106796116
"2933",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,382,17,2014,66.3,59.2,1021.1,7.8,3.6,999.9,81,57,0.01,0,1,0.771844660194175
"2937",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,386,21,2014,67.2,62.2,1020.2,10,7.8,999.9,75,57,0.01,0,0,0.538834951456311
"2945",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,394,29,2014,66.6,63.5,1013,8.4,15.5,28,75,60.1,0.39,0,0,0.674757281553398
"2951",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,400,35,2014,67.8,60.8,1008.1,9.1,9.7,15.9,72,63,0.02,0,0,0.713592233009709
"2954",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,403,38,2014,66.8,59.2,1012.2,10,8.8,20,72,61,0.01,0,0,0.514563106796116
"2957",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,406,41,2014,66.3,58.8,1015.3,9.7,8.2,999.9,73,59,0,0,0,0.548543689320388
"2962",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,411,46,2014,68.3,64.7,1011.1,8.3,6.8,17.1,73.9,59,0.06,0,1,0.616504854368932
"2968",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,417,52,2014,67.9,57.7,1009.6,9.8,7.8,20,73.9,61,0,0,0,0.737864077669903
"2975",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,424,59,2014,63.9,56.9,1012.6,8.8,4.1,999.9,73.9,54,0.01,0,1,0.62621359223301
"2977",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,426,61,2014,63.8,55.9,1015.5,9.9,6,999.9,73,52,0.01,0,0,0.553398058252427
"2984",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,433,68,2014,67.1,60.6,1017.5,10,7.7,999.9,73,52,0.01,0,0,0.592233009708738
"2991",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,440,75,2014,63.9,60,1017.7,7.9,7.9,19,73,57.9,0.01,0,1,0.606796116504854
"2995",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,444,79,2014,65.6,60.1,1017.9,9.8,10.8,22.9,73,57.9,0.02,0,0,0.436893203883495
"2999",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,448,83,2014,63.9,56.8,1019.4,10,9,22,73,55,0.01,0,0,0.461165048543689
"3003",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,452,87,2014,63.3,56.5,1020.5,10,3.8,999.9,72,54,0,0,0,0.58252427184466
"3008",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,457,92,2014,63,56,1021.1,10,3.5,999.9,72,53.1,0,0,0,0.645631067961165
"3015",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,464,99,2014,67.5,64.7,1016.3,6.5,7.3,999.9,75,53.1,0.02,0,1,0.631067961165049
"3019",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,468,103,2014,71,62.4,1009.4,6.8,8.8,27,78.1,59,0.01,0,1,0.631067961165049
"3025",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,474,109,2014,67.2,53.4,1018.9,10,10.8,22,78.1,59,0.03,0,0,0.776699029126214
"3027",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,476,111,2014,60.1,51.2,1025.5,10,6.3,999.9,71.1,46,0,0,0,0.669902912621359
"3032",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,481,116,2014,69.1,65.6,1020.7,9.4,9,18.1,73.9,64,0,0,0,0.62621359223301
"3038",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,487,122,2014,71.5,69.2,1015.6,6.8,9.3,25.1,77,66,0.14,0,0,0.621359223300971
"3043",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,492,127,2014,71.1,69.4,1013.1,1.7,6.8,999.9,77,68,0.01,0,1,0.966019417475728
"3051",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,500,135,2014,74,65.1,1012.3,8.1,9.7,22,82,66.9,0,0,1,0.660194174757282
"3055",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,504,139,2014,69.4,60.8,1020.5,9.9,5.2,999.9,82,59,0,0,0,0.893203883495146
"3059",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,508,143,2014,70.3,67.2,1021.3,8.7,7.5,999.9,78.1,59,0.01,0,1,0.723300970873786
"3066",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,515,150,2014,72,69.9,1014.3,6.9,10.7,18.1,77,64.9,0.01,0,1,0.66504854368932
"3070",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,519,154,2014,70.1,62.9,1015.8,9,11,24.1,77,62.1,0,0,0,0.563106796116505
"3075",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,524,159,2014,63.6,55.3,1025.3,10,7.8,21,75,55.9,0.01,0,0,0.771844660194175
"3080",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,529,164,2014,64.6,56.5,1025,10,10.9,22.9,73,55.9,0,0,0,0.699029126213592
"3084",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,533,168,2014,66.2,61.2,1019.1,10,11.3,22,73,60.1,0,0,0,0.660194174757282
"3087",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,536,171,2014,64.4,60.3,1014.8,9.7,6.4,999.9,73,54,0,0,0,0.669902912621359
"3092",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,541,176,2014,67.1,58.8,1016.6,9.7,11.4,22,73,54,0,0,0,0.844660194174757
"3099",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,548,183,2014,59.9,53.2,1022.2,9.6,7.6,21,70,52,0,0,0,0.606796116504854
"3104",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,553,188,2014,62.2,54.3,1020.7,10,9.6,24.1,68,52,0.04,0,0,0.597087378640777
"3107",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,556,191,2014,57.5,47.6,1022,10,3.6,999.9,66,46.9,0,0,0,0.776699029126214
"3115",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,564,199,2014,61.2,50.8,1017,10,6.5,999.9,66.9,46.9,0,0,0,0.718446601941748
"3121",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,570,205,2014,61.9,54.4,1015.5,9.8,4.6,999.9,70,51.1,0,0,0,0.79126213592233
"3125",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574,209,2014,61.1,47.4,1014.7,10,5,15,72,48,0,0,0,0.737864077669903
"3131",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,580,215,2014,57.2,42.7,1024.1,10,12.5,26,72,46,0,0,0,0.718446601941748
"3132",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,581,216,2014,57,47.3,1027.2,10,7.7,999.9,68,44.1,0,0,0,0.616504854368932
"3138",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,587,222,2014,66.1,63.2,1015.7,8.1,8.1,17.1,71.6,62.1,0,0,0,0.427184466019417
"3145",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,594,229,2014,67.9,61.5,1007,8.2,12.3,27,72,61,0.11,0,1,0.820388349514563
"3150",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,599,234,2014,59,42.3,1022.8,10,9.3,22.9,72,53.1,0.01,0,0,0.699029126213592
"3153",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,602,237,2014,58.9,51.3,1033.3,10,6.7,21,68,48.9,0,0,0,0.611650485436893
"3158",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,607,242,2014,59.7,55.3,1031,8.6,8.9,21,68,48.9,0,0,0,0.592233009708738
"3166",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,615,250,2014,63.1,59.1,1020.5,7.9,15.8,27,69.1,57.9,1.99,0,0,0.616504854368932
"3168",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,617,252,2014,63.5,55.3,1020.7,9.9,6.2,999.9,75.9,53.1,0.01,0,0,0.679611650485437
"3176",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,625,260,2014,63.3,58.5,1020.5,9.9,4.4,999.9,75.9,53.1,0,0,0,0.592233009708738
"3177",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,626,261,2014,65.9,63.2,1015.5,9.2,6.7,999.9,73,53.1,0.02,0,0,0.650485436893204
"3186",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,635,270,2014,63.3,61.3,1014.7,6.7,7,999.9,72,62.1,0.02,0,0,0.679611650485437
"3189",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,638,273,2014,62.4,60.6,1014.5,7.1,13.2,20,63,60.8,0.24,0,0,0.660194174757282
"3193",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,642,277,2014,59.9,56.3,1016.6,9.4,17.6,28.9,61,57.2,1.08,0,0,0.635922330097087
"3199",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,648,283,2014,58.5,54,1016.5,9.2,13.1,24.1,61,57,0.01,0,0,0.83495145631068
"3205",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,654,289,2014,59.4,57.3,1007.1,6.8,5.7,22,64,57,0.02,0,1,0.621359223300971
"3208",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,657,292,2014,59.6,50.4,1006.5,9.6,11,25.1,64.9,51.1,0.08,0,0,0.548543689320388
"3216",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,665,300,2014,55.7,42.6,1018.6,10,6.9,999.9,64,45,0,0,0,0.762135922330097
"3219",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,668,303,2014,63,57,1021.1,10,11.5,19,69.1,45,0,0,0,0.703883495145631
"3223",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,672,307,2014,65.2,60.4,1012.5,9.4,12.3,44.1,70,60.1,0.07,0,1,0.699029126213592
"3228",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,677,312,2014,60.8,45.9,1013.8,9.7,12.6,26,70,48.9,0.39,0,0,0.5
"3233",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,682,317,2014,59,44,1017.8,10,8.9,17.1,66,48.9,0,0,0,0.543689320388349
"3240",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,689,324,2014,52.9,48.1,1019,8.1,8.1,20,62.1,50,0.15,0,0,0.62621359223301
"3243",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,692,327,2014,53.3,43.7,1022.4,10,9.2,21,59,44.1,0.78,0,0,0.553398058252427
"3250",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,699,334,2014,50.9,43.2,1027.7,10,4.2,999.9,62.1,39,0,0,0,0.490291262135922
"3255",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,704,339,2014,63.2,58.4,1025.4,10,8.2,999.9,66.9,59,0,0,0,0.762135922330097
"3258",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,707,342,2014,64.9,62.1,1021,9.9,9.5,999.9,70,61,0.01,0,0,0.587378640776699
"3264",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,713,348,2014,65,63.4,1013.5,6.6,12,27,68,62.6,0.05,0,0,0.631067961165049
"3274",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,723,358,2014,62.7,58.8,1003.7,9,7.5,999.9,68,59,0.02,0,0,0.548543689320388
"3281",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,730,365,2014,56,45.2,1005.8,10,10.7,24.1,68,51.1,0.01,0,0,0.606796116504854
"3282",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,366,1,2014,49,32.4,1016.2,10,11.8,27,59,41,0,0,0,0.79126213592233
"3289",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,373,8,2014,57.7,52.3,1015.5,9.3,10.5,21,60.8,53.1,0,0,0,0.796116504854369
"3296",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,380,15,2014,57,55.4,1010.3,6.1,12.8,28.9,60.8,51.8,0.23,0,0,0.830097087378641
"3298",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,382,17,2014,59.5,57,1000.4,8.7,10.7,25.1,64,51.1,0.1,0,0,0.766990291262136
"3305",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,389,24,2014,54.3,51.1,1003.1,7.6,15.7,29.9,64,51.1,0.16,0,0,0.825242718446602
"3309",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,393,28,2014,54.7,45.9,1006,10,10.7,22.9,62.1,45,0,0,0,0.606796116504854
"3314",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,398,33,2014,57.6,45.4,999.7,10,13.1,28.9,62.1,45,0.04,0,0,0.631067961165049
"3320",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,404,39,2014,54.1,40.5,1010,10,12,24.1,61,48.9,0,0,0,0.796116504854369
"3322",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,406,41,2014,54.3,48,1017.5,9.9,6.1,999.9,64.9,39.9,0,0,0,0.699029126213592
"3327",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,411,46,2014,61.9,59,1013.1,8,9.8,999.9,66,57.9,0,0,0,0.606796116504854
"3334",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,418,53,2014,56.1,45,1012.9,9.4,8.9,22.9,66,51.1,0,0,0,0.737864077669903
"3339",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,423,58,2014,51.3,43.6,1014.8,10,7.9,21,61,42.1,0,0,0,0.805825242718447
"3345",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,429,64,2014,48.2,42.2,1019.2,9.6,4,999.9,59,39,0,0,0,0.572815533980582
"3349",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,433,68,2014,51,47.2,1020.7,9.5,8.2,999.9,59,39,0,0,1,0.563106796116505
"3353",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,437,72,2014,56.5,53.5,1012.9,6,5.2,999.9,68,45,0,0,1,0.737864077669903
"3359",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,443,78,2014,49.8,41.1,1015.5,8.6,8.4,999.9,68,45,0,0,1,0.781553398058252
"3363",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,447,82,2014,43.7,34.9,1012.3,9.7,11.1,25.1,53.1,39.9,0.22,0,0,0.742718446601942
"3370",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,454,89,2014,37,20.6,1021.7,10,10.7,21,48,32,0.05,0,0,0.509708737864078
"3375",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,459,94,2014,38.1,26,1027.1,10,5.6,22,50,23,0,0,0,0.466019417475728
"3380",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,464,99,2014,52.1,48.9,1014.6,6.5,9.5,35,61,45,0.09,0,0,0.771844660194175
"3385",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,469,104,2014,48.9,39.6,1004.5,7.8,17.1,38.1,63,34,2.91,0,0,0.796116504854369
"3387",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,471,106,2014,33.6,14.6,1018.3,10,14.4,25.1,39,30,0.02,0,0,0.79126213592233
"3395",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,479,114,2014,45.7,32.6,1014,9.8,16.1,31.1,53.1,28.9,0.03,0,0,0.747572815533981
"3397",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,481,116,2014,36.8,15.4,1017.4,10,15.8,35.9,53.1,32,0,0,0,0.699029126213592
"3403",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,487,122,2014,37.1,19.7,1028.3,10,15.9,34,48,28,0,0,0,0.563106796116505
"3409",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,493,128,2014,52.6,41.5,1021.4,8.9,18.3,35,57.9,48,0,0,0,0.490291262135922
"3416",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,500,135,2014,54.8,52.5,1014.5,4.5,15.5,34,61,46.9,0,0,0,0.854368932038835
"3418",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,502,137,2014,56.7,53.5,1014,3.6,11.2,26,61,50,0.26,0,1,0.62621359223301
"3426",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,510,145,2014,48,41.1,1018,6.7,11.9,46,59,44.1,0.01,0,0,0.932038834951456
"3429",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,513,148,2014,41.8,36.7,1008,8.6,13.8,39,48.2,37.4,1.86,0,0,0.412621359223301
"3436",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,520,155,2014,37,30.9,1015.6,9.3,12.6,29.9,46,34,0.05,0,0,0.519417475728155
"3441",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,525,160,2014,30.9,16.8,1025.3,10,6.6,999.9,39,25,0,0,0,0.402912621359223
"3442",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,526,161,2014,46.1,38.6,1024,9.9,9.8,999.9,55.9,24.1,0,0,0,0.368932038834951
"3449",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,533,168,2014,53,46.9,1009,8.8,18.8,41,57.9,42.1,0.08,0,0,0.752427184466019
"3453",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,537,172,2014,43.5,38.4,1001.3,6.3,32.8,55,55,37,1.15,0,0,0.703883495145631
"3458",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,542,177,2014,44.6,20.6,1012.6,10,18.9,35.9,52,37,0.66,0,0,0.737864077669903
"3462",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,546,181,2014,52.7,37.7,1019.4,10,6.9,22,61,37.9,0,0,0,0.611650485436893
"3469",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,553,188,2014,57.7,52.4,1018.3,9.3,11.1,999.9,62.1,54,0,0,0,0.58252427184466
"3473",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,557,192,2014,53.6,48.7,1015.8,9.4,5.6,21,63,50,0.02,0,0,0.728155339805825
"3479",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,563,198,2014,52.5,46.7,999,7.9,11.7,29.9,59,46,0.85,0,0,0.805825242718447
"3486",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,570,205,2014,43.9,29.7,1012,10,13.9,32.1,55,37,0.03,0,0,0.640776699029126
"3490",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,574,209,2014,53.2,42.7,1014,10,9.1,24.1,59,37,0,0,0,0.475728155339806
"3493",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,577,212,2014,53.2,49,1019.8,7.4,9.8,999.9,57,39.9,0,0,0,0.854368932038835
"3498",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,582,217,2014,42.5,32.4,1033.2,9.9,14.9,27,57,39,0.09,0,0,0.567961165048544
"3502",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,586,221,2014,51.2,48.4,1022.8,6.1,14.5,26,55,39,0.22,0,0,0.742718446601942
"3507",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,591,226,2014,43.1,28,1025.4,9.9,11.5,31.1,55,37,0.01,0,0,0.62621359223301
"3515",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,599,234,2014,39.3,27.7,1034.8,9.8,9.3,22.9,46,32,0,0,0,0.718446601941748
"3521",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,605,240,2014,48.9,45.2,1026.7,6.8,9.8,25.1,54,32,0.13,0,0,0.689320388349515
"3525",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,609,244,2014,41.9,34,1027,8,25,46,54,35.1,1.96,0,0,0.548543689320388
"3529",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,613,248,2014,35.4,24.7,1035.8,10,19.6,39,45,32,0.67,0,0,0.694174757281553
"3535",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,619,254,2014,48.7,45.1,1019.3,5.8,19.6,41,57,32,0.03,0,0,0.864077669902913
"3539",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,623,258,2014,47.9,44.8,999.6,8.4,8.6,999.9,57,44.1,2.11,0,0,0.737864077669903
"3542",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,626,261,2014,40.8,33.7,1003,9.5,19.3,33,48.9,37.9,0.05,0,0,0.781553398058252
"3548",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,632,267,2014,37,27.8,1010.7,10,8.2,19,42.1,33.1,0.04,0,0,0.679611650485437
"3555",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,639,274,2014,36.9,27.7,1009.8,9.9,9.8,20,39.9,33.1,0,0,0,0.66504854368932
"3559",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,643,278,2014,39,30.1,1008.6,10,10.9,999.9,42.8,36,0,0,0,0.504854368932039
"3563",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,647,282,2014,37.8,31.6,1014.5,9.9,5.8,999.9,44.6,32,0,0,0,0.87378640776699
"3568",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,652,287,2014,44,37,1019.7,9.6,4.2,999.9,48,33.1,0,0,0,0.723300970873786
