"","day_index","day","year","mo","county","temp","visib","wdsp","NUM_COLLISIONS"
"5978",2434,4,2019,5,"Bronx County",49.4,8.2,10.6,0.304721030042918
"5983",2439,5,2019,5,"Bronx County",47.3,7.8,9.2,0.429184549356223
"5990",2446,6,2019,5,"Bronx County",51.3,4.3,6.4,0.313304721030043
"5992",2448,7,2019,5,"Bronx County",46.9,6.8,9.6,0.300429184549356
"5997",2453,1,2019,5,"Bronx County",48.1,7.9,18.5,0.321888412017167
"6001",2457,2,2019,5,"Bronx County",48.3,10,7.8,0.390557939914163
"6008",2464,3,2019,5,"Bronx County",53,10,9.2,0.373390557939914
"6013",2469,4,2019,5,"Bronx County",47.7,10,7.6,0.360515021459227
"6017",2473,5,2019,5,"Bronx County",48.4,9.4,13.8,0.463519313304721
"6023",2479,6,2019,5,"Bronx County",56.8,7,10,0.390557939914163
"6028",2484,7,2019,5,"Bronx County",45.7,7.6,8.6,0.381974248927039
"6032",2488,1,2019,5,"Bronx County",46.1,9.7,14.7,0.381974248927039
"6037",2493,2,2019,5,"Bronx County",44.9,7,15,0.309012875536481
"6042",2498,3,2019,5,"Bronx County",48.5,9.7,10.8,0.386266094420601
"6050",2506,4,2019,5,"Bronx County",53.3,10,8.2,0.32618025751073
"6054",2510,5,2019,5,"Bronx County",52.3,8.4,8.4,0.510729613733906
"6058",2514,6,2019,5,"Bronx County",56.7,8.9,9.2,0.420600858369099
"6063",2519,7,2019,5,"Bronx County",52,10,9.7,0.36480686695279
"6066",2522,1,2019,5,"Bronx County",57.2,4.9,11.3,0.454935622317597
"6073",2529,2,2019,5,"Bronx County",58.9,7.8,13.5,0.476394849785408
"6080",2536,3,2019,5,"Bronx County",56.7,10,12.8,0.399141630901288
"6081",2537,4,2019,5,"Bronx County",52.5,10,10.5,0.454935622317597
"6089",2545,5,2019,5,"Bronx County",59.3,8.3,18.7,0.450643776824034
"6091",2547,6,2019,5,"Bronx County",56.9,10,9.7,0.330472103004292
"6099",2555,7,2019,5,"Bronx County",57.6,8.9,12.1,0.313304721030043
"6103",2194,1,2019,5,"Bronx County",62.1,10,11.4,0.274678111587983
"6107",2198,2,2019,5,"Bronx County",51.6,8.1,8.8,0.334763948497854
"6111",2202,3,2019,5,"Bronx County",54.6,8.1,13.2,0.394849785407725
"6118",2209,4,2019,5,"Bronx County",51.3,8.5,6.4,0.416309012875536
"6121",2212,5,2019,5,"Bronx County",58.2,4.7,8.4,0.454935622317597
"7545",2221,6,2019,6,"Bronx County",55.3,6.2,6,0.339055793991416
"7548",2224,7,2019,6,"Bronx County",56.9,5.1,6.9,0.283261802575107
"7555",2231,1,2019,6,"Bronx County",60.4,9.1,11,0.412017167381974
"7558",2234,2,2019,6,"Bronx County",58.5,10,12.6,0.416309012875536
"7562",2238,3,2019,6,"Bronx County",59.8,9.6,12.3,0.412017167381974
"7568",2244,4,2019,6,"Bronx County",62,5.2,12.5,0.40343347639485
"7575",2251,5,2019,6,"Bronx County",59.8,9.8,4.8,0.545064377682403
"7578",2254,6,2019,6,"Bronx County",60.6,9.8,9.1,0.343347639484979
"7583",2259,7,2019,6,"Bronx County",57.7,10,5.3,0.291845493562232
"7590",2266,1,2019,6,"Bronx County",59.4,10,10.5,0.334763948497854
"7594",2270,2,2019,6,"Bronx County",63.7,5.4,11.2,0.390557939914163
"7599",2275,3,2019,6,"Bronx County",62.9,10,8.2,0.429184549356223
"7605",2281,4,2019,6,"Bronx County",56.7,6.2,12.4,0.399141630901288
"7607",2283,5,2019,6,"Bronx County",61.7,8.2,13,0.390557939914163
"7611",2287,6,2019,6,"Bronx County",62.7,10,11.3,0.450643776824034
"7620",2296,7,2019,6,"Bronx County",62.8,9.3,13.2,0.330472103004292
"7625",2301,1,2019,6,"Bronx County",66,8.1,6.3,0.399141630901288
"7626",2302,2,2019,6,"Bronx County",60.4,5.7,5.2,0.381974248927039
"7632",2308,3,2019,6,"Bronx County",62.3,6.7,6.8,0.377682403433476
"7636",2312,4,2019,6,"Bronx County",61,3,8.1,0.463519313304721
"7641",2317,5,2019,6,"Bronx County",63.2,3.8,10,0.416309012875536
"7646",2322,6,2019,6,"Bronx County",64.7,9.7,8.4,0.321888412017167
"7655",2331,7,2019,6,"Bronx County",65.7,10,11.4,0.416309012875536
"7660",2336,1,2019,6,"Bronx County",68.5,10,9,0.489270386266094
"7663",2339,2,2019,6,"Bronx County",61.5,6,8.5,0.317596566523605
"7669",2345,3,2019,6,"Bronx County",67.3,8.1,7.9,0.459227467811159
"7673",2349,4,2019,6,"Bronx County",61.4,5.6,4.2,0.390557939914163
"7677",2353,5,2019,6,"Bronx County",66.8,6.3,4.4,0.429184549356223
"7685",2361,6,2019,6,"Bronx County",65.8,7.9,7.6,0.420600858369099
"7687",2363,7,2019,6,"Bronx County",69.3,8.3,9.4,0.313304721030043
"9129",2370,1,2019,7,"Bronx County",66.9,10,10.4,0.429184549356223
"9131",2372,2,2019,7,"Bronx County",67.9,10,9.1,0.360515021459227
"9140",2381,3,2019,7,"Bronx County",70.2,9.2,5,0.390557939914163
"9143",2384,4,2019,7,"Bronx County",66.6,6.3,3.7,0.266094420600858
"9151",2387,5,2019,7,"Bronx County",66.1,4.7,3.9,0.317596566523605
"9164",2395,6,2019,7,"Bronx County",68.9,1.5,7.5,0.300429184549356
"9175",2401,7,2019,7,"Bronx County",69,7.1,11.2,0.206008583690987
"9182",2403,1,2019,7,"Bronx County",64.9,10,4.2,0.40343347639485
"9191",2407,2,2019,7,"Bronx County",69,9.7,6.5,0.459227467811159
"9204",2415,3,2019,7,"Bronx County",71.5,7.3,6.4,0.369098712446352
"9211",2417,4,2019,7,"Bronx County",66.8,2.2,5.8,0.373390557939914
"9223",2424,5,2019,7,"Bronx County",70.8,7.9,10.9,0.463519313304721
"9231",2427,6,2019,7,"Bronx County",71.9,8.1,7.5,0.334763948497854
"9241",2432,7,2019,7,"Bronx County",71.8,7.9,9.6,0.309012875536481
"9251",2437,1,2019,7,"Bronx County",73.1,10,9.1,0.377682403433476
"9265",2446,2,2019,7,"Bronx County",70.3,8.7,5.3,0.463519313304721
"9275",2451,3,2019,7,"Bronx County",70.9,5.7,9.3,0.386266094420601
"9281",2452,4,2019,7,"Bronx County",71.4,2,4.9,0.369098712446352
"9291",2457,5,2019,7,"Bronx County",69.2,4.7,8.1,0.412017167381974
"9301",2462,6,2019,7,"Bronx County",76.2,6.1,9.1,0.412017167381974
"9315",2471,7,2019,7,"Bronx County",76.7,6.7,10.7,0.300429184549356
"9324",2475,1,2019,7,"Bronx County",76.5,9.5,7,0.489270386266094
"9333",2479,2,2019,7,"Bronx County",70.4,7.8,10.6,0.339055793991416
"9342",2483,3,2019,7,"Bronx County",66.1,9.9,9.1,0.44206008583691
"9352",2488,4,2019,7,"Bronx County",69.5,10,5.8,0.373390557939914
"9361",2492,5,2019,7,"Bronx County",67.1,9.4,3.4,0.407725321888412
"9373",2499,6,2019,7,"Bronx County",67.1,10,4.9,0.36480686695279
"9385",2506,7,2019,7,"Bronx County",66.9,9.6,7.3,0.343347639484979
"9392",2508,1,2019,7,"Bronx County",72.8,8.9,9.3,0.369098712446352
"9401",2512,2,2019,7,"Bronx County",73,6.6,7.8,0.36480686695279
"9415",2521,3,2019,7,"Bronx County",72.9,5.6,7,0.257510729613734
"10801",2522,4,2019,8,"Bronx County",74.3,5.9,6,0.394849785407725
"10810",2531,5,2019,8,"Bronx County",71.6,7.4,4.7,0.369098712446352
"10813",2534,6,2019,8,"Bronx County",70.3,10,6.3,0.381974248927039
"10817",2538,7,2019,8,"Bronx County",73.3,9.9,7.9,0.28755364806867
"10826",2542,1,2019,8,"Bronx County",70.2,9.9,6.9,0.356223175965665
"10837",2548,2,2019,8,"Bronx County",68.9,9.8,7.2,0.330472103004292
"10848",2554,3,2019,8,"Bronx County",70.2,10,7.2,0.369098712446352
"10859",2195,4,2019,8,"Bronx County",73.3,9.4,11.5,0.360515021459227
"10868",2199,5,2019,8,"Bronx County",73.7,8.9,10.4,0.399141630901288
"10877",2203,6,2019,8,"Bronx County",71.2,10,10.5,0.373390557939914
"10889",2210,7,2019,8,"Bronx County",68.8,10,9.4,0.291845493562232
"10900",2216,1,2019,8,"Bronx County",71.2,10,9.3,0.36480686695279
"10907",2218,2,2019,8,"Bronx County",71.2,7.9,8.4,0.244635193133047
"10918",2224,3,2019,8,"Bronx County",71.1,8.6,6.8,0.334763948497854
"10928",2229,4,2019,8,"Bronx County",68.6,8.6,8.5,0.291845493562232
"10937",2233,5,2019,8,"Bronx County",66.6,7.8,7,0.339055793991416
"10948",2239,6,2019,8,"Bronx County",67.5,3.8,7.1,0.330472103004292
"10959",2245,7,2019,8,"Bronx County",71.2,4.2,4,0.248927038626609
"10969",2250,1,2019,8,"Bronx County",73.3,3.5,6.3,0.351931330472103
"10978",2254,2,2019,8,"Bronx County",75.5,10,6.8,0.343347639484979
"10990",2261,3,2019,8,"Bronx County",70.6,8.1,7.2,0.334763948497854
"10997",2263,4,2019,8,"Bronx County",74.6,7.2,8.1,0.32618025751073
"11008",2269,5,2019,8,"Bronx County",72,9.4,7.2,0.420600858369099
"11018",2274,6,2019,8,"Bronx County",68.3,10,12.3,0.257510729613734
"11027",2278,7,2019,8,"Bronx County",65.5,10,13.6,0.330472103004292
"11040",2286,1,2019,8,"Bronx County",64.3,10,13.7,0.278969957081545
"11049",2290,2,2019,8,"Bronx County",60.4,10,4.7,0.317596566523605
"11059",2295,3,2019,8,"Bronx County",65.4,9.2,7.7,0.218884120171674
"11067",2298,4,2019,8,"Bronx County",71,6.3,9.5,0.360515021459227
"11079",2305,5,2019,8,"Bronx County",68,9.2,7.9,0.330472103004292
"11088",2309,6,2019,8,"Bronx County",70.3,9.1,5.3,0.253218884120172
"12360",2316,7,2019,9,"Bronx County",63.8,10,6.9,0.296137339055794
"12362",2318,1,2019,9,"Bronx County",64.9,10,6.4,0.236051502145923
"12367",2323,2,2019,9,"Bronx County",70,8.9,6.8,0.407725321888412
"12374",2330,3,2019,9,"Bronx County",66.6,6.6,7.7,0.369098712446352
"12381",2332,4,2019,9,"Bronx County",67.7,9.5,9.7,0.407725321888412
"12392",2338,5,2019,9,"Bronx County",59.3,9.1,9.3,0.317596566523605
"12405",2346,6,2019,9,"Bronx County",62.1,7.4,20.3,0.300429184549356
"12413",2349,7,2019,9,"Bronx County",66,10,10.5,0.296137339055794
"12425",2356,1,2019,9,"Bronx County",63.9,9.8,4.5,0.360515021459227
"12432",2358,2,2019,9,"Bronx County",62.8,10,6.2,0.317596566523605
"12442",2363,3,2019,9,"Bronx County",68.3,10,10.2,0.356223175965665
"12451",2367,4,2019,9,"Bronx County",65.4,6.2,11.2,0.407725321888412
"12465",2376,5,2019,9,"Bronx County",59.6,10,11.8,0.454935622317597
"12474",2380,6,2019,9,"Bronx County",60.7,10,10.4,0.274678111587983
"12482",2383,7,2019,9,"Bronx County",68.2,8.8,8.2,0.330472103004292
"12492",2388,1,2019,9,"Bronx County",65.4,9.6,7.4,0.394849785407725
"12501",2392,2,2019,9,"Bronx County",61.5,10,9.2,0.351931330472103
"12513",2399,3,2019,9,"Bronx County",56,9.9,11.3,0.330472103004292
"12524",2405,4,2019,9,"Bronx County",57.3,10,11.4,0.334763948497854
"12533",2409,5,2019,9,"Bronx County",58.8,10,6.6,0.40343347639485
"12544",2415,6,2019,9,"Bronx County",67,9.9,6.5,0.394849785407725
"12553",2419,7,2019,9,"Bronx County",64.6,6.4,6.5,0.321888412017167
"12563",2424,1,2019,9,"Bronx County",68.5,8.1,12,0.373390557939914
"12571",2427,2,2019,9,"Bronx County",68.6,7.8,11.1,0.390557939914163
"12583",2434,3,2019,9,"Bronx County",63.8,10,9.7,0.339055793991416
"12592",2438,4,2019,9,"Bronx County",64.7,9.9,8,0.429184549356223
"12601",2442,5,2019,9,"Bronx County",63.5,8.8,7.7,0.467811158798283
"12614",2450,6,2019,9,"Bronx County",63.8,10,8.2,0.304721030042918
"12624",2455,7,2019,9,"Bronx County",66.9,8.7,11.4,0.330472103004292
"12634",2460,1,2019,9,"Bronx County",56.3,10,7.8,0.266094420600858
"12663",2464,1,2019,10,"Bronx County",66.9,10,12.9,0.347639484978541
"12671",2467,2,2019,10,"Bronx County",61.3,9.3,12.1,0.330472103004292
"12685",2476,3,2019,10,"Bronx County",56.9,7.8,19.5,0.180257510729614
"12695",2481,4,2019,10,"Bronx County",54.5,4.9,28.8,0.339055793991416
"12704",2485,5,2019,10,"Bronx County",55.5,3.6,26.1,0.369098712446352
"12715",2491,6,2019,10,"Bronx County",56.2,6.7,19.9,0.278969957081545
"12725",2496,7,2019,10,"Bronx County",57.6,9.6,6,0.291845493562232
"12733",2499,1,2019,10,"Bronx County",57.7,7.1,6.5,0.184549356223176
"12742",2503,2,2019,10,"Bronx County",56.7,10,8.9,0.296137339055794
"12751",2507,3,2019,10,"Bronx County",51.5,9.9,9.3,0.420600858369099
"12762",2513,4,2019,10,"Bronx County",58.2,9.9,28,0.386266094420601
"12772",2518,5,2019,10,"Bronx County",55,10,14.9,0.437768240343348
"12782",2523,6,2019,10,"Bronx County",50.5,10,10.9,0.356223175965665
"12793",2529,7,2019,10,"Bronx County",49.3,10,3.9,0.266094420600858
"12804",2535,1,2019,10,"Bronx County",55.2,9.5,13.5,0.360515021459227
"12814",2540,2,2019,10,"Bronx County",56.3,7.9,11.5,0.317596566523605
"12824",2545,3,2019,10,"Bronx County",61.4,6.6,11.3,0.394849785407725
"12832",2548,4,2019,10,"Bronx County",55.5,10,6.7,0.347639484978541
"12842",2553,5,2019,10,"Bronx County",55.9,9.6,6,0.373390557939914
"12854",2195,6,2019,10,"Bronx County",55.2,7.9,7.3,0.321888412017167
"12865",2201,7,2019,10,"Bronx County",53.4,7.6,14.3,0.253218884120172
"12871",2202,1,2019,10,"Bronx County",56,8.3,17.1,0.394849785407725
"12883",2209,2,2019,10,"Bronx County",55.1,9.9,7.7,0.399141630901288
"12891",2212,3,2019,10,"Bronx County",57.8,8.4,7.9,0.356223175965665
"12905",2221,4,2019,10,"Bronx County",62.5,5.4,13.1,0.407725321888412
"14014",2225,2,2019,10,"Bronx County",59.4,10,8.4,0.334763948497854
"14018",2229,3,2019,10,"Bronx County",67.6,8.9,13.4,0.339055793991416
"14022",2233,4,2019,10,"Bronx County",55.3,10,12.5,0.472103004291845
"14030",2241,5,2019,10,"Bronx County",57.4,9.4,14.6,0.437768240343348
"14036",2242,6,2019,10,"Bronx County",51.9,10,12.2,0.317596566523605
"14049",2250,7,2019,10,"Bronx County",52,10,7.2,0.28755364806867
"14156",2252,5,2019,11,"Bronx County",58.7,8.4,20.2,0.545064377682403
"14165",2261,6,2019,11,"Bronx County",47,10,7.2,0.253218884120172
"14167",2263,7,2019,11,"Bronx County",51,10,7.5,0.36480686695279
"14175",2271,1,2019,11,"Bronx County",48.1,10,7.5,0.381974248927039
"14183",2274,2,2019,11,"Bronx County",56.6,9.6,11.5,0.257510729613734
"14194",2280,3,2019,11,"Bronx County",51.5,9.9,10.5,0.347639484978541
"14203",2284,4,2019,11,"Bronx County",51.4,9.8,7.8,0.347639484978541
"14212",2288,5,2019,11,"Bronx County",42.7,10,15.7,0.446351931330472
"14222",2293,6,2019,11,"Bronx County",35.3,10,10.2,0.274678111587983
"14231",2297,7,2019,11,"Bronx County",48.3,10,8.8,0.248927038626609
"14244",2305,1,2019,11,"Bronx County",51.5,10,7.7,0.266094420600858
"14252",2308,2,2019,11,"Bronx County",53.9,8.4,13.1,0.373390557939914
"14264",2315,3,2019,11,"Bronx County",29,9.3,17.5,0.360515021459227
"14273",2319,4,2019,11,"Bronx County",35,10,8,0.28755364806867
"14282",2323,5,2019,11,"Bronx County",49.3,9.8,11,0.351931330472103
"14292",2328,6,2019,11,"Bronx County",39.7,10,18.4,0.253218884120172
"14303",2334,7,2019,11,"Bronx County",41.5,10,14.2,0.15450643776824
"14313",2339,1,2019,11,"Bronx County",48.4,3.6,21.7,0.527896995708155
"14324",2345,2,2019,11,"Bronx County",46.5,8.4,7.5,0.40343347639485
"14334",2350,3,2019,11,"Bronx County",44.8,9.1,10,0.244635193133047
"14341",2352,4,2019,11,"Bronx County",43.3,10,13,0.420600858369099
"14352",2358,5,2019,11,"Bronx County",48.1,8.8,10.6,0.394849785407725
"14364",2365,6,2019,11,"Bronx County",40.4,10,13.9,0.244635193133047
"14372",2368,7,2019,11,"Bronx County",50.2,7.5,13,0.296137339055794
"14385",2376,1,2019,11,"Bronx County",45.4,10,12.8,0.373390557939914
"14393",2379,2,2019,11,"Bronx County",46.5,10,5.4,0.472103004291845
"14404",2385,3,2019,11,"Bronx County",48.5,6,6,0.373390557939914
"14413",2389,4,2019,11,"Bronx County",47.2,8.9,20.5,0.257510729613734
"14423",2394,5,2019,11,"Bronx County",40.5,10,20.1,0.313304721030043
"14434",2400,6,2019,11,"Bronx County",35,10,15.8,0.266094420600858
"15635",2406,7,2019,12,"Bronx County",36.7,10,7.5,0.180257510729614
"15640",2411,1,2019,12,"Bronx County",44.8,4.3,20.5,0.283261802575107
"15643",2414,2,2019,12,"Bronx County",39.9,5.2,18.6,0.416309012875536
"15650",2421,3,2019,12,"Bronx County",36.6,10,7.5,0.334763948497854
"15657",2423,4,2019,12,"Bronx County",39.6,10,8.4,0.381974248927039
"15670",2431,5,2019,12,"Bronx County",38.3,10,14.2,0.317596566523605
"15676",2432,6,2019,12,"Bronx County",36.4,10,12.9,0.386266094420601
"15687",2438,7,2019,12,"Bronx County",31.8,10,8.7,0.227467811158798
"15699",2445,1,2019,12,"Bronx County",48.2,7.3,13.5,0.416309012875536
"15707",2448,2,2019,12,"Bronx County",53.1,1.8,16,0.420600858369099
"15718",2454,3,2019,12,"Bronx County",39.9,4.9,10.5,0.283261802575107
"15728",2459,4,2019,12,"Bronx County",31.1,10,11.7,0.321888412017167
"15739",2465,5,2019,12,"Bronx County",38.7,9.8,10.3,0.549356223175966
"15746",2467,6,2019,12,"Bronx County",52.7,3.1,16.5,0.386266094420601
"15760",2476,7,2019,12,"Bronx County",47.7,8,19.8,0.270386266094421
"15770",2481,1,2019,12,"Bronx County",35.4,10,11,0.313304721030043
"15776",2482,2,2019,12,"Bronx County",37.5,7.3,7.3,0.437768240343348
"15787",2488,3,2019,12,"Bronx County",39.3,7.6,12.5,0.407725321888412
"15800",2496,4,2019,12,"Bronx County",24.2,10,18.4,0.347639484978541
"15808",2499,5,2019,12,"Bronx County",24.2,10,13.5,0.48068669527897
"15816",2502,6,2019,12,"Bronx County",33.3,10,5.2,0.321888412017167
"15829",2510,7,2019,12,"Bronx County",41.3,9.6,9.1,0.343347639484979
"15839",2515,1,2019,12,"Bronx County",44.3,7.5,11.4,0.36480686695279
"15846",2517,2,2019,12,"Bronx County",42.8,10,12,0.360515021459227
"15859",2525,3,2019,12,"Bronx County",35.6,10,4.7,0.184549356223176
"15869",2530,4,2019,12,"Bronx County",35.9,10,5.9,0.227467811158798
"15877",2533,5,2019,12,"Bronx County",40.1,10,7.6,0.257510729613734
"15890",2541,6,2019,12,"Bronx County",44.5,9,9.1,0.163090128755365
"15900",2546,7,2019,12,"Bronx County",38.4,10,6.8,0.274678111587983
"15908",2549,1,2019,12,"Bronx County",39.6,5.2,13,0.300429184549356
"15916",2552,2,2019,12,"Bronx County",44.7,4.8,14.7,0.248927038626609
